X,loc,file,id_k,E,L,run,rawid,id
1,/vol/cluster-data/rchen/wgr/data/processed/D154259k_E100041924_L01_ANIscleR181601-729.sorted.bam,D154259k_E100041924_L01_ANIscleR181601-729.sorted.bam,D154259k,E100041924,L01,ANIscleR181601-729.sorted.bam,D154259,D154259
2,/vol/cluster-data/rchen/wgr/data/processed/D154280_E100046281_L01_LYRfjwqR198689-701.sorted.bam,D154280_E100046281_L01_LYRfjwqR198689-701.sorted.bam,D154280,E100046281,L01,LYRfjwqR198689-701.sorted.bam,D154280,D154280
3,/vol/cluster-data/rchen/wgr/data/processed/D154299k_E100048304_L01_ANIqvhbR216095-611.sorted.bam,D154299k_E100048304_L01_ANIqvhbR216095-611.sorted.bam,D154299k,E100048304,L01,ANIqvhbR216095-611.sorted.bam,D154299,D154299
6,/vol/cluster-data/rchen/wgr/data/processed/D211308_E100046281_L01_LYRfjwqR198690-609.sorted.bam,D211308_E100046281_L01_LYRfjwqR198690-609.sorted.bam,D211308,E100046281,L01,LYRfjwqR198690-609.sorted.bam,D211308,D211308
7,/vol/cluster-data/rchen/wgr/data/processed/D211312k_E100046248_L01_LYRfjwqR198707-411.sorted.bam,D211312k_E100046248_L01_LYRfjwqR198707-411.sorted.bam,D211312k,E100046248,L01,LYRfjwqR198707-411.sorted.bam,D211312,D211312
8,/vol/cluster-data/rchen/wgr/data/processed/D211320_E100046281_L01_LYRfjwqR198691-614.sorted.bam,D211320_E100046281_L01_LYRfjwqR198691-614.sorted.bam,D211320,E100046281,L01,LYRfjwqR198691-614.sorted.bam,D211320,D211320
9,/vol/cluster-data/rchen/wgr/data/processed/D211334k_E100048304_L01_ANIqvhbR216096-621.sorted.bam,D211334k_E100048304_L01_ANIqvhbR216096-621.sorted.bam,D211334k,E100048304,L01,ANIqvhbR216096-621.sorted.bam,D211334,D211334
10,/vol/cluster-data/rchen/wgr/data/processed/D211341_E100046281_L01_LYRfjwqR198692-624.sorted.bam,D211341_E100046281_L01_LYRfjwqR198692-624.sorted.bam,D211341,E100046281,L01,LYRfjwqR198692-624.sorted.bam,D211341,D211341
11,/vol/cluster-data/rchen/wgr/data/processed/D211349_E100046281_L01_LYRfjwqR198693-634.sorted.bam,D211349_E100046281_L01_LYRfjwqR198693-634.sorted.bam,D211349,E100046281,L01,LYRfjwqR198693-634.sorted.bam,D211349,D211349
12,/vol/cluster-data/rchen/wgr/data/processed/D211350_E100042370_L01_ANIscleR181526-750.sorted.bam,D211350_E100042370_L01_ANIscleR181526-750.sorted.bam,D211350,E100042370,L01,ANIscleR181526-750.sorted.bam,D211350,D211350
13,/vol/cluster-data/rchen/wgr/data/processed/D211374_E10004both_L01_ANIscleR181527-751.sorted.bam,D211374_E10004both_L01_ANIscleR181527-751.sorted.bam,D211374,E10004both,L01,ANIscleR181527-751.sorted.bam,D211374,D211374
14,/vol/cluster-data/rchen/wgr/data/processed/D211385_E100046281_L01_LYRfjwqR198694-645.sorted.bam,D211385_E100046281_L01_LYRfjwqR198694-645.sorted.bam,D211385,E100046281,L01,LYRfjwqR198694-645.sorted.bam,D211385,D211385
15,/vol/cluster-data/rchen/wgr/data/processed/D211401_E100046281_L01_LYRfjwqR198695-650.sorted.bam,D211401_E100046281_L01_LYRfjwqR198695-650.sorted.bam,D211401,E100046281,L01,LYRfjwqR198695-650.sorted.bam,D211401,D211401
16,/vol/cluster-data/rchen/wgr/data/processed/D211403_E100044898_L01_merge.sorted.bam,D211403_E100044898_L01_merge.sorted.bam,D211403,E100044898,L01,merge.sorted.bam,D211403,D211403
17,/vol/cluster-data/rchen/wgr/data/processed/D211411_E100042332_L01_ANIscleR181534-758.sorted.bam,D211411_E100042332_L01_ANIscleR181534-758.sorted.bam,D211411,E100042332,L01,ANIscleR181534-758.sorted.bam,D211411,D211411
18,/vol/cluster-data/rchen/wgr/data/processed/D211412_E10004both_L01_ANIscleR181528-752.sorted.bam,D211412_E10004both_L01_ANIscleR181528-752.sorted.bam,D211412,E10004both,L01,ANIscleR181528-752.sorted.bam,D211412,D211412
19,/vol/cluster-data/rchen/wgr/data/processed/D211431k_E100041924_L01_ANIscleR181602-730.sorted.bam,D211431k_E100041924_L01_ANIscleR181602-730.sorted.bam,D211431k,E100041924,L01,ANIscleR181602-730.sorted.bam,D211431,D211431
