id,year,born,age,core,site,lifespan,lyre,blue,eyec,attend,fight,dist,MS
D154259,2002,1999,3,no core,TEE,6,NA,NA,NA,NA,NA,NA,7
D154259,2003,1999,4,no core,TEE,6,NA,0.268,4.99,1,0.37,8.65,4
D154259,2004,1999,5,no core,TEE,6,247,0.269,4.55,0.96,0.33,5,3
D154259,2005,1999,6,no core,TEE,6,NA,0.278,4.34,1,0.12,7.16,1
D154280,2002,2001,1,core,NYR,2,191,0.243,2.63,0.128205128205128,NA,NA,0
D154280,2003,2001,2,core,NYR,2,NA,NA,NA,0.52,0.18,32.52,1
D154288,2002,2001,1,core,NYR,2,189,0.228,3.46,0,NA,NA,0
D154288,2003,2001,2,core,NYR,2,222,0.274,3.81,0.8,0.12,36,1
D154299,2003,2002,1,core,TEE,3,170,0.284,2.22,0,NA,NA,0
D154299,2004,2002,2,core,TEE,3,209,0.266,4.54,0.95,0.23,19.03,0
D154299,2005,2002,3,core,TEE,3,NA,0.255,4.93,1,0.36,9.49,3
D211308,2002,2001,1,core,NYR,2,187,0.252,NA,0.88,NA,19.45,0
D211308,2003,2001,2,core,NYR,2,213,0.253,3.5,0.95,0.51,9.74,1
D211312,2002,2000,2,no core,NYR,5,218,NA,3.42,0.03,NA,NA,0
D211312,2003,2000,3,no core,NYR,5,214,0.271,3.88,0.79,0.31,29.9,1
D211312,2004,2000,4,no core,NYR,5,217,0.277,4.91,0.97,0.19,13,0
D211312,2005,2000,5,no core,NYR,5,214,0.272,2.65,0.88,0.15,17.12,0
D211320,2002,2001,1,core,NYR,4,193,0.276,3.44,0.01,NA,NA,0
D211320,2003,2001,2,core,NYR,4,NA,NA,NA,1,0.31,13.79,8
D211320,2004,2001,3,core,NYR,4,NA,NA,NA,0.04,NA,NA,0
D211320,2005,2001,4,core,NYR,4,233,0.268,4.63,0.95,0.34,3,6
D211334,2002,2000,2,no core,LEH,6,218,NA,NA,0.5,0.75,34.05,0
D211334,2003,2000,3,no core,LEH,6,213,0.287,4.88,1,0.1,15.04,0
