parameter	region	go	median	ci_95	ci_80
b_scaletotal_load	Exon	Androgen metabolism	-0.17	-0.25, -0.1	-0.23, -0.12
b_scaletotal_load	Exon	Cellular respiration	0.01	-0.06, 0.09	-0.03, 0.07
b_scaletotal_load	Exon	Developmental growth	0.05	-0.04, 0.13	-0.01, 0.1
b_scaletotal_load	Exon	Immune response	0.14	0.06, 0.23	0.08, 0.2
b_scaletotal_load	Exon	Muscle tissue development	-0.02	-0.1, 0.07	-0.07, 0.04
b_scaletotal_load	Exon	Response to oxidative stress	-0.17	-0.25, -0.09	-0.22, -0.11
b_scaletotal_load	Intron	Androgen metabolism	0.41	0.32, 0.49	0.35, 0.46
b_scaletotal_load	Intron	Cellular respiration	0.33	0.23, 0.43	0.27, 0.4
b_scaletotal_load	Intron	Developmental growth	0.09	0, 0.18	0.03, 0.15
b_scaletotal_load	Intron	Immune response	-0.29	-0.38, -0.21	-0.35, -0.24
b_scaletotal_load	Intron	Muscle tissue development	0.08	0.01, 0.15	0.03, 0.13
b_scaletotal_load	Intron	Response to oxidative stress	-0.03	-0.12, 0.06	-0.09, 0.03
b_scaletotal_load	Promoter	Androgen metabolism	-0.33	-0.4, -0.25	-0.38, -0.28
b_scaletotal_load	Promoter	Cellular respiration	-0.25	-0.34, -0.16	-0.3, -0.19
b_scaletotal_load	Promoter	Developmental growth	-0.22	-0.3, -0.15	-0.27, -0.17
b_scaletotal_load	Promoter	Immune response	-0.23	-0.3, -0.15	-0.28, -0.18
b_scaletotal_load	Promoter	Muscle tissue development	-0.09	-0.17, -0.01	-0.14, -0.04
b_scaletotal_load	Promoter	Response to oxidative stress	-0.11	-0.19, -0.02	-0.16, -0.05
