id,total_length_bp,froh_mcmc
D154259,162488613,0.161798370956203
D154280,152420386,0.151772913190635
D154288,146296048,0.145674591017221
D154299,181893188,0.181120516466163
D211308,190073064,0.189265644835397
D211312,159192778,0.158516536468882
D211320,153507817,0.152855724847888
D211334,149783154,0.149146883996617
D211341,154433782,0.153777756403185
D211349,149630779,0.148995156276629
D211350,141902566,0.141299772269612
D211374,152790836,0.152141789540886
D211376,157192514,0.15652476947237
D211385,139993517,0.139398832797161
D211401,163912914,0.163216621609566
D211403,149219285,0.148585410278869
D211411,149206676,0.148572854841158
D211412,160107565,0.159427437507664
D211431,166431430,0.165724439102151
D211435,177115062,0.176362687663578
D211438,145683196,0.145064342376369
D211445,170563724,0.169839179360978
D211450,168354253,0.167639094063462
D211451,149269082,0.148634995744151
D211456,184655526,0.183871120217273
D211461,160594674,0.159912477297363
D211474,140882432,0.140283971738673
D211478,152456861,0.151809233246987
D211482,150706385,0.150066193165785
D211489,174689100,0.173947031007061
D211490,145248019,0.144631013982596
D217810,148525295,0.147894368307455
D217818,166323366,0.165616834151649
D217821,144350954,0.143737759661804
D217831,153673462,0.153020666197699
D217835,160096797,0.159416715249493
D217864,138738191,0.138148839347965
D217870,152985438,0.152335564883068
D217891,145609934,0.144991391589024
D217896,146463061,0.145840894555848
D217897,163475949,0.162781512811112
D217910,175626644,0.174880592375449
D217911,151330255,0.150687413002823
D217932,149316872,0.14868258273505
D217947,161386586,0.160701025301898
D217949,147644374,0.147017189407903
D217961,149521244,0.148886086574848
D217964,153609459,0.152956935078668
D217965,151817991,0.151173077129064
D217969,157869302,0.157198682516866
D217977,145766905,0.145147695785474
D217993,160409859,0.159728447380582
D229025,189885173,0.189078551985282
D229032,152619648,0.151971328737412
D229043,174072863,0.173333411745489
D229051,155399411,0.15473928346815
D229054,151670120,0.15102583427635
D229055,185359105,0.18457171045518
D229056,145089576,0.144473244039115
D229063,149662566,0.149026808247328
D229082,166636161,0.165928300416938
D229093,155984703,0.155322089182257
D229096,153249322,0.152598327919401
D229097,151068190,0.150426461239485
D229103,144171647,0.143559214347364
