id,sum,Froh_genome
D154259,4468743,0.00444976004332031
D154280,11007887,0.0109611261453131
D154288,14157797,0.0140976555134274
D154299,23562755,0.0234626618065854
D211308,54212116,0.0539818261288792
D211312,2381515,0.00237139846475127
D211320,8854573,0.00881695929617409
D211341,11601687,0.0115524037179378
D211349,15951139,0.0158833795023899
D211350,7930766,0.00789707657382026
D211374,16224102,0.0161551829716663
D211376,8889840,0.00885207648403827
D211385,1016108,0.00101179163315011
D211401,8853228,0.00881562000965475
D211403,3531902,0.00351689868862969
D211411,15230116,0.0151654193655651
D211412,14712456,0.0146499583547114
D211431,17340198,0.0172665378616901
D211435,28503996,0.0283829127062715
D211438,4868196,0.00484751619053765
D211445,17173292,0.0171003408685334
D211450,27493181,0.0273763915887696
D211461,10981709,0.0109350593479131
D211474,3280019,0.00326608567275662
D211478,10156002,0.0101128599025456
D211482,19505456,0.0194225979734217
D211489,10684241,0.0106388549744312
D211490,7843847,0.00781052680060543
D217810,10070287,0.0100275090148098
D217818,23232415,0.0231337250714206
D217831,4843048,0.00482247501775832
D217864,9960645,0.00991833276755863
D217870,23397021,0.0232976318348418
D217896,5476512,0.00545324810005055
D217897,12368807,0.0123162650374256
D217910,27441403,0.0273248335386596
D217911,5881362,0.00585637832113022
D217949,19987680,0.0199027735143132
D217964,15111234,0.0150470423692889
D217965,1386015,0.0013801272900327
D217969,6128904,0.00610286877731524
D217977,1010942,0.0010066475780134
D217993,6772527,0.0067437577047747
D229025,6252124,0.00622556534602325
D229032,2488431,0.0024778602918896
D229043,5512556,0.00548913898726457
D229051,2223428,0.00221398300900267
D229054,3053748,0.00304077585861826
D229055,10279610,0.0102359428230525
D229056,10793189,0.0107473401697534
D229063,4700003,0.00468003766448095
D229082,1503533,0.00149714608050038
D229093,13264485,0.0132081382501123
D229096,3907843,0.00389124271343619
D229097,1121862,0.0011170963963959
D229103,6700431,0.00667196796433019
D229126,1968859,0.00196049540309917
D229154,15970755,0.0159029121747789
D229155,19241169,0.019159433649009
D229160,12455182,0.0124022731215204
D229161,17381446,0.0173076106426191
D229162,7144860,0.00711450905615238
D229167,13463941,0.013406746972789
D229170,21319095,0.0212285327419254
D229171,4936782,0.00491581084125512
D229509,15754391,0.0156874672762889
D229512,6802046,0.00677315130980384
D229518,9491480,0.0094511607528054
D229556,28608952,0.0284874228593743
D229560,7743505,0.00771061104750286
D229599,10783212,0.0107374055514609
D229630,5762294,0.00573781611497112
D229633,3991654,0.0039746976892517
D229635,11188052,0.01114052581502
D229638,6327970,0.00630108915668895
D229646,10950039,0.010903523880205
D229648,16544870,0.0164745883681225
D229658,13180475,0.0131244851196371
D229675,10049379,0.0100066898307605
D229676,43502224,0.0433174291183829
D229705,6459082,0.00643164420064646
D229707,11655240,0.0116057292279526
D229716,18498781,0.018420199269444
D229718,24398696,0.0242950517785246
