id,n_roh,mean_roh_kb,min_roh_kb,max_roh_kb,sum,Froh_genome
D154259,3,1489.581,1249.634,1738.188,4468743,0.00444976004332031
D154280,7,1572.55528571429,1017.792,2488.762,11007887,0.0109611261453131
D154288,8,1769.724625,1031.364,3880.741,14157797,0.0140976555134274
D154299,11,2142.06863636364,1036.316,5450.094,23562755,0.0234626618065854
D211308,21,2581.52933333333,1011.974,9223.932,54212116,0.0539818261288792
D211312,2,1190.7575,1125.635,1255.88,2381515,0.00237139846475127
D211320,6,1475.76216666667,1065.766,2118.275,8854573,0.00881695929617409
D211341,9,1289.07633333333,1039.304,1871.855,11601687,0.0115524037179378
D211349,8,1993.892375,1000.139,4696.003,15951139,0.0158833795023899
D211350,5,1586.1532,1153.636,2417.725,7930766,0.00789707657382026
D211374,10,1622.4102,1014.781,2653.77,16224102,0.0161551829716663
D211376,5,1777.968,1106.723,2661.449,8889840,0.00885207648403827
D211385,1,1016.108,1016.108,1016.108,1016108,0.00101179163315011
D211401,7,1264.74685714286,1025.053,1655.901,8853228,0.00881562000965475
D211403,3,1177.30066666667,1101.309,1265.386,3531902,0.00351689868862969
D211411,9,1692.23511111111,1003.499,3068.048,15230116,0.0151654193655651
D211412,8,1839.057,1151.498,2655.593,14712456,0.0146499583547114
D211431,10,1734.0198,1006.718,3689.874,17340198,0.0172665378616901
D211435,13,2192.61507692308,1059.771,5164.979,28503996,0.0283829127062715
D211438,4,1217.049,1005.931,1463.068,4868196,0.00484751619053765
D211445,10,1717.3292,1038.211,3387.853,17173292,0.0171003408685334
D211450,15,1832.87873333333,1088.641,6502.367,27493181,0.0273763915887696
D211461,8,1372.713625,1039.342,2193.043,10981709,0.0109350593479131
D211474,2,1640.0095,1373.679,1906.34,3280019,0.00326608567275662
D211478,6,1692.667,1047.316,3472.379,10156002,0.0101128599025456
D211482,10,1950.5456,1021.524,5956.662,19505456,0.0194225979734217
D211489,7,1526.32014285714,1020.093,2681.398,10684241,0.0106388549744312
D211490,6,1307.30783333333,1016.294,1922.452,7843847,0.00781052680060543
D217810,8,1258.785875,1057.794,1556.275,10070287,0.0100275090148098
D217818,15,1548.82766666667,1066.577,2531.218,23232415,0.0231337250714206
D217831,4,1210.762,1041.081,1370.086,4843048,0.00482247501775832
D217864,6,1660.1075,1037.49,3520.281,9960645,0.00991833276755863
D217870,14,1671.21578571429,1018.602,3498.817,23397021,0.0232976318348418
D217896,4,1369.128,1255.204,1679.669,5476512,0.00545324810005055
D217897,8,1546.100875,1039.257,3497.277,12368807,0.0123162650374256
D217910,16,1715.0876875,1051.894,5444.939,27441403,0.0273248335386596
D217911,4,1470.3405,1010.522,1994.053,5881362,0.00585637832113022
D217949,10,1998.768,1009.365,5110.174,19987680,0.0199027735143132
D217964,11,1373.74854545455,1022.958,2473.557,15111234,0.0150470423692889
D217965,1,1386.015,1386.015,1386.015,1386015,0.0013801272900327
D217969,5,1225.7808,1004.962,1515.056,6128904,0.00610286877731524
D217977,1,1010.942,1010.942,1010.942,1010942,0.0010066475780134
D217993,5,1354.5054,1042.039,1932.962,6772527,0.0067437577047747
D229025,4,1563.031,1318.555,2212.79,6252124,0.00622556534602325
D229032,2,1244.2155,1210.35,1278.081,2488431,0.0024778602918896
D229043,5,1102.5112,1008.861,1338.97,5512556,0.00548913898726457
D229051,2,1111.714,1063.562,1159.866,2223428,0.00221398300900267
D229054,2,1526.874,1397.72,1656.028,3053748,0.00304077585861826
D229055,7,1468.51571428571,1102.994,2126.625,10279610,0.0102359428230525
D229056,6,1798.86483333333,1168.853,3126.837,10793189,0.0107473401697534
D229063,3,1566.66766666667,1068.02,1817.304,4700003,0.00468003766448095
D229082,1,1503.533,1503.533,1503.533,1503533,0.00149714608050038
D229093,7,1894.92642857143,1065.488,4064.242,13264485,0.0132081382501123
D229096,2,1953.9215,1790.177,2117.666,3907843,0.00389124271343619
D229097,1,1121.862,1121.862,1121.862,1121862,0.0011170963963959
D229103,5,1340.0862,1102.704,1848.785,6700431,0.00667196796433019
D229126,1,1968.859,1968.859,1968.859,1968859,0.00196049540309917
D229154,12,1330.89625,1006.191,2122.45,15970755,0.0159029121747789
D229155,13,1480.08992307692,1050.412,2862.688,19241169,0.019159433649009
