id	gerp_cat	n_total	n_genotyped	gerp_count_t_v2	gerp_Lt_additive
D154259	0-1	1016065	880915	167623	0.19028283092012283
D154259	1-2	536152	461738	84914.5	0.18390190974102197
D154259	2-3	421585	364039	64979	0.178494611841039
D154259	3-4	536380	481434	83855.5	0.17417859976653083
D154259	4-5	404284	366751	55748	0.15200503884106656
D154280	0-1	1016065	977685	188528.5	0.19283153571958248
D154280	1-2	536152	522353	97010.5	0.18571827863532897
D154280	2-3	421585	410974	74056	0.18019631412206125
D154280	3-4	536380	526462	92142	0.17502117911644144
D154280	4-5	404284	398717	61093.5	0.15322521989280619
D154288	0-1	1016065	999189	192796	0.19295248446490104
D154288	1-2	536152	529248	98205	0.18555573190640304
D154288	2-3	421585	416172	74891	0.17995203906077295
D154288	3-4	536380	530460	92959	0.17524224258191004
D154288	4-5	404284	400576	61217.5	0.15282368389519094
D154299	0-1	1016065	924281	177111	0.19162029729054258
D154299	1-2	536152	487861	89870	0.18421230637415165
D154299	2-3	421585	384917	69006	0.17927501253516992
D154299	3-4	536380	503742	87921	0.17453577426539776
D154299	4-5	404284	384232	58796	0.15302213246163776
D211308	0-1	1016065	978788	189424.5	0.19352965095608038
D211308	1-2	536152	521536	96818.5	0.18564106792244447
D211308	2-3	421585	410506	74006	0.18027994718713003
D211308	3-4	536380	525882	92194	0.17531309305129286
D211308	4-5	404284	398087	60897	0.1529740986266821
D211312	0-1	1016065	929793	178158.5	0.1916109284539677
D211312	1-2	536152	493748	90871	0.1840432771373251
D211312	2-3	421585	388510	69456	0.178775321098556
D211312	3-4	536380	502348	87555	0.17429152698925846
D211312	4-5	404284	382021	58412	0.15290258912468163
D211320	0-1	1016065	979929	189360.5	0.19323899996836505
D211320	1-2	536152	522408	97494	0.1866242477144301
D211320	2-3	421585	411163	74016	0.18001619795555535
D211320	3-4	536380	526954	92715.5	0.17594609776185396
D211320	4-5	404284	399065	61050.5	0.1529838497487878
D211334	0-1	1016065	767624	145738	0.18985597115254343
D211334	1-2	536152	408117	74644.5	0.1828997566874205
D211334	2-3	421585	323169	57287.5	0.1772679310206115
D211334	3-4	536380	421744	73131	0.17340139990136197
D211334	4-5	404284	315812	47392	0.15006396210403658
D211341	0-1	1016065	988376	190857.5	0.19310211903162358
D211341	1-2	536152	525322	97634.5	0.1858564842134919
D211341	2-3	421585	413280	74429.5	0.1800946089818041
D211341	3-4	536380	528514	92796.5	0.17558002247811788
D211341	4-5	404284	399883	61185	0.15300725462197692
D211349	0-1	1016065	983000	190375	0.19366734486266532
D211349	1-2	536152	523910	97428	0.18596323796071845
D211349	2-3	421585	412328	74342.5	0.18029942181952233
D211349	3-4	536380	527033	92144.5	0.1748363005732089
D211349	4-5	404284	398930	60820	0.15245782468102173
D211350	0-1	1016065	1000707	193056.5	0.1929201054854218
D211350	1-2	536152	529006	97965.5	0.18518788066675992
D211350	2-3	421585	416302	75215.5	0.18067532704623085
D211350	3-4	536380	530660	93027.5	0.17530528021708816
D211350	4-5	404284	401006	61193.5	0.15259996109783894
D211374	0-1	1016065	993008	191555.5	0.19290428677311763
D211374	1-2	536152	526433	97306.5	0.1848411858679072
D211374	2-3	421585	414030	74545	0.18004733956476585
D211374	3-4	536380	529583	92543.5	0.17474786766191513
D211374	4-5	404284	400424	61134.5	0.15267441511997282
D211376	0-1	1016065	998239	192483	0.19282256052909172
D211376	1-2	536152	529039	97809	0.18488050975447934
D211376	2-3	421585	416062	74823	0.17983617826189366
D211376	3-4	536380	529972	92350	0.17425448891639558
D211376	4-5	404284	400280	60958.5	0.15228964724692715
D211385	0-1	1016065	927683	178401	0.192308148365336
