treatment,mediator,method,indirect_median,indirect_lower,indirect_upper,direct_median,direct_lower,direct_upper,total_median,total_lower,total_upper,path1_median,path1_lower,path1_upper,path2_median,path2_lower,path2_upper,indirect_lower_80,indirect_upper_80,direct_lower_80,direct_upper_80
b_scaletotal_load,b_scalelyre,gerp45,-0.01,-0.04,0.01,-0.13,-0.36,0.11,-0.14,-0.38,0.1,-0.03,-0.1,0.04,0.31,-0.07,0.69,-0.03,0.01,-0.29,0.03
b_scaletotal_load,b_scaleeyec,gerp45,0,-0.02,0.02,-0.13,-0.36,0.11,-0.13,-0.36,0.11,0,-0.09,0.09,0.13,-0.21,0.48,-0.01,0.01,-0.29,0.03
b_scaletotal_load,b_scaleblue,gerp45,0,-0.03,0.01,-0.13,-0.36,0.11,-0.14,-0.38,0.1,-0.03,-0.13,0.08,0.15,-0.05,0.36,-0.02,0.01,-0.29,0.03
b_scaletotal_load,b_scaleattend,gerp45,-0.13,-0.28,-0.01,-0.13,-0.36,0.11,-0.26,-0.54,0.01,-0.1,-0.19,-0.01,1.32,0.71,2.01,-0.22,-0.05,-0.29,0.03
b_scaletotal_load,b_scalefight,gerp45,0,-0.02,0.02,-0.13,-0.36,0.11,-0.13,-0.36,0.11,0.01,-0.09,0.12,-0.06,-0.33,0.21,-0.01,0.01,-0.29,0.03
b_scaletotal_load,b_scaledist,gerp45,-0.02,-0.11,0.05,-0.13,-0.36,0.11,-0.15,-0.41,0.11,0.04,-0.09,0.16,-0.59,-0.93,-0.23,-0.07,0.02,-0.29,0.03
b_scaletotal_load,b_scalelyre,high,0.01,-0.01,0.05,-0.11,-0.38,0.16,-0.09,-0.37,0.18,0.04,-0.04,0.1,0.33,-0.08,0.72,0,0.03,-0.27,0.06
b_scaletotal_load,b_scaleeyec,high,0,-0.03,0.02,-0.11,-0.38,0.16,-0.11,-0.38,0.16,-0.01,-0.1,0.07,0.14,-0.21,0.49,-0.01,0.01,-0.27,0.06
b_scaletotal_load,b_scaleblue,high,-0.01,-0.04,0.01,-0.11,-0.38,0.16,-0.12,-0.39,0.15,-0.07,-0.17,0.04,0.15,-0.06,0.36,-0.03,0,-0.27,0.06
b_scaletotal_load,b_scaleattend,high,-0.03,-0.16,0.09,-0.11,-0.38,0.16,-0.14,-0.44,0.15,-0.03,-0.11,0.06,1.32,0.72,1.94,-0.11,0.04,-0.27,0.06
b_scaletotal_load,b_scalefight,high,0,-0.01,0.02,-0.11,-0.38,0.16,-0.1,-0.38,0.17,-0.02,-0.12,0.08,-0.06,-0.32,0.2,-0.01,0.01,-0.27,0.06
b_scaletotal_load,b_scaledist,high,0.01,-0.06,0.09,-0.11,-0.38,0.16,-0.1,-0.39,0.17,-0.01,-0.14,0.11,-0.57,-0.94,-0.22,-0.04,0.06,-0.27,0.06
