parameter	outer_width	inner_width	point_est	ll	l	m	h	hh	cat	loadtype
b_scalegerp_Lt_additive_cat1	0.95	0.8	median	-0.18488904451193552	-0.151407906589183	-0.09065945422220949	-0.0273776055371232	0.008397010591929092	0-1	Total
b_scalegerp_Lt_additive_cat2	0.95	0.8	median	-0.22777610878072121	-0.19746610075578439	-0.139856937259222	-0.07642150576979986	-0.048224122577809655	1-2	Total
b_scalegerp_Lt_additive_cat3	0.95	0.8	median	-0.12806262337044416	-0.09165176150828794	-0.028723220202954085	0.03712536206781747	0.07210621214449377	2-3	Total
b_scalegerp_Lt_additive_cat4	0.95	0.8	median	-0.17270671695362988	-0.14227016604274237	-0.08831293328887643	-0.036101749163467575	-0.005792364401207448	3-4	Total
b_scalegerp_Lt_additive_cat5	0.95	0.8	median	-0.32555386925778457	-0.2956523931137653	-0.24711848497721142	-0.19586996408900867	-0.17028646347505405	4-5	Total
b_scalegerp_Lr_cat1	0.95	0.8	median	-0.26274759792349806	-0.20512951345836067	-0.10462286674980747	-0.0077253064155052495	0.04151734660768201	0-1	Expressed
b_scalegerp_Lr_cat2	0.95	0.8	median	-0.43938945382430256	-0.3751120066386925	-0.2528420344852693	-0.1285103370355875	-0.05992526914544849	1-2	Expressed
b_scalegerp_Lr_cat3	0.95	0.8	median	-0.24312755290522894	-0.17434638721226683	-0.03610826124905275	0.10212286500466704	0.19131062814031835	2-3	Expressed
b_scalegerp_Lr_cat4	0.95	0.8	median	-0.4507862938538363	-0.36357577787189926	-0.2172040077962229	-0.06135657294955666	0.022558181327879172	3-4	Expressed
b_scalegerp_Lr_cat5	0.95	0.8	median	-0.8871608292153933	-0.8095532434334776	-0.664195660899735	-0.5204608087725562	-0.43924989417114807	4-5	Expressed
b_scalegerp_Lp_cat1	0.95	0.8	median	-0.3232479486193572	-0.2676387183940687	-0.16075519228909552	-0.05606509481843411	0.0013891600618872696	0-1	Masked
b_scalegerp_Lp_cat2	0.95	0.8	median	-0.5192304508565206	-0.44770145790218857	-0.3188664854391259	-0.18575624310604072	-0.11085167116053869	1-2	Masked
b_scalegerp_Lp_cat3	0.95	0.8	median	-0.32426851713312815	-0.2406588058997437	-0.08835930447253944	0.07143499432241679	0.15764021095107716	2-3	Masked
b_scalegerp_Lp_cat4	0.95	0.8	median	-0.5143685804579606	-0.43095876862558563	-0.27604618269381354	-0.113877010431741	-0.02506218013997714	3-4	Masked
b_scalegerp_Lp_cat5	0.95	0.8	median	-0.9414019736297834	-0.8519897359024579	-0.7085422231146088	-0.5529957457560337	-0.47044420500317974	4-5	Masked
