parameter	median	ci_95	ci_80
b_Intercept	-1.13	-1.97, -0.38	-1.65, -0.62
b_scaletotal_load	-0.13	-0.36, 0.11	-0.29, 0.03
b_scalelyre	0.31	-0.07, 0.69	0.07, 0.56
b_scaleeyec	0.13	-0.21, 0.48	-0.1, 0.35
b_scaleblue	0.15	-0.05, 0.36	0.01, 0.29
b_scaledist	-0.59	-0.93, -0.23	-0.81, -0.36
b_scaleattend	1.32	0.71, 2.01	0.91, 1.74
b_scalefight	-0.06	-0.33, 0.21	-0.24, 0.11
b_age_catyearling	-0.17	-1.09, 0.74	-0.78, 0.42
sd_site__Intercept	0.18	0.01, 0.88	0.03, 0.54
sd_site:id__Intercept	0.94	0.68, 1.28	0.77, 1.15
sd_year__Intercept	0.45	0.19, 1.03	0.26, 0.76
zi	0.28	0.15, 0.4	0.2, 0.36
r_site[KUM,Intercept]	0	-0.38, 0.48	-0.2, 0.24
r_site[LEH,Intercept]	-0.02	-0.59, 0.38	-0.32, 0.17
r_site[NYR,Intercept]	0.05	-0.25, 0.68	-0.09, 0.4
r_site[SAA,Intercept]	0.02	-0.38, 0.67	-0.18, 0.35
r_site[TEE,Intercept]	-0.03	-0.63, 0.32	-0.34, 0.14
r_site:id[KUM_D211341,Intercept]	0.62	-0.66, 1.81	-0.21, 1.43
r_site:id[KUM_D211374,Intercept]	-0.06	-1.3, 1.15	-0.88, 0.7
r_site:id[KUM_D211376,Intercept]	1.12	0.03, 2.23	0.37, 1.88
r_site:id[KUM_D211385,Intercept]	-0.38	-2.22, 1.27	-1.55, 0.71
r_site:id[KUM_D211401,Intercept]	-0.05	-1.9, 1.82	-1.19, 1.1
r_site:id[KUM_D211403,Intercept]	-0.16	-2.03, 1.52	-1.36, 0.97
r_site:id[KUM_D211435,Intercept]	-0.12	-2.06, 1.66	-1.33, 1.02
r_site:id[KUM_D211438,Intercept]	-0.1	-1.69, 1.37	-1.1, 0.86
r_site:id[KUM_D211450,Intercept]	-0.28	-2.09, 1.57	-1.4, 0.79
r_site:id[KUM_D211456,Intercept]	0.43	-0.86, 1.82	-0.44, 1.3
r_site:id[KUM_D211474,Intercept]	-0.75	-2.5, 0.76	-1.88, 0.25
r_site:id[KUM_D211478,Intercept]	-0.12	-1.41, 1.13	-0.97, 0.72
r_site:id[KUM_D211482,Intercept]	-0.5	-2.29, 1.22	-1.63, 0.64
r_site:id[KUM_D217818,Intercept]	-0.21	-1.93, 1.53	-1.35, 0.9
r_site:id[KUM_D217896,Intercept]	0.42	-0.43, 1.24	-0.14, 0.96
r_site:id[KUM_D217897,Intercept]	-0.21	-2.11, 1.55	-1.36, 0.9
r_site:id[KUM_D217969,Intercept]	-0.33	-2.12, 1.54	-1.48, 0.9
r_site:id[KUM_D217977,Intercept]	0.16	-0.99, 1.19	-0.57, 0.82
r_site:id[KUM_D229043,Intercept]	-0.11	-1.92, 1.5	-1.32, 0.94
r_site:id[KUM_D229126,Intercept]	0.34	-1.25, 2.01	-0.7, 1.39
r_site:id[KUM_D229164,Intercept]	-0.18	-2.08, 1.52	-1.38, 0.89
r_site:id[KUM_D229165,Intercept]	-0.1	-1.88, 1.73	-1.2, 1.04
r_site:id[KUM_D229167,Intercept]	1.8	1.17, 2.44	1.38, 2.22
r_site:id[KUM_D229192,Intercept]	-0.4	-1.62, 0.71	-1.18, 0.34
r_site:id[KUM_D229193,Intercept]	0.75	0.09, 1.42	0.31, 1.2
r_site:id[KUM_D229509,Intercept]	-0.13	-2.06, 1.71	-1.36, 1.13
r_site:id[KUM_D229512,Intercept]	0.44	-0.9, 1.8	-0.47, 1.32
r_site:id[KUM_D229599,Intercept]	-0.35	-2.15, 1.31	-1.47, 0.72
r_site:id[KUM_D229658,Intercept]	-0.17	-1.41, 0.93	-0.97, 0.57
r_site:id[KUM_D229721,Intercept]	-0.56	-2, 0.67	-1.43, 0.28
r_site:id[KUM_D229735,Intercept]	-0.15	-2.1, 1.62	-1.31, 1.02
r_site:id[KUM_D229737,Intercept]	0.28	-1.06, 1.49	-0.59, 1.08
r_site:id[KUM_D237206,Intercept]	0.42	-0.84, 1.55	-0.39, 1.14
r_site:id[KUM_D237235,Intercept]	-0.18	-2.1, 1.57	-1.36, 0.95
r_site:id[KUM_D237258,Intercept]	-1.07	-2.75, 0.44	-2.1, -0.11
r_site:id[KUM_D237310,Intercept]	-0.21	-1.97, 1.56	-1.32, 0.94
r_site:id[KUM_D237311,Intercept]	-0.15	-1.96, 1.59	-1.27, 0.96
r_site:id[KUM_D237313,Intercept]	-0.5	-2.08, 1.13	-1.48, 0.56
r_site:id[KUM_D237325,Intercept]	-0.07	-1.94, 1.71	-1.31, 1.11
r_site:id[KUM_D237327,Intercept]	0.65	-0.73, 1.94	-0.23, 1.49
r_site:id[KUM_D237337,Intercept]	0.35	-1.03, 1.71	-0.52, 1.25
r_site:id[KUM_D237339,Intercept]	0.73	-0.54, 1.92	-0.09, 1.51
r_site:id[KUM_D237340,Intercept]	-0.08	-1.67, 1.3	-1.04, 0.87
r_site:id[KUM_D237389,Intercept]	-0.12	-2.01, 1.6	-1.29, 1.01
r_site:id[KUM_D243930,Intercept]	-0.51	-2.17, 1.09	-1.64, 0.5
r_site:id[KUM_D243937,Intercept]	-0.33	-2.14, 1.56	-1.51, 0.88
r_site:id[KUM_D244017,Intercept]	-0.35	-2.2, 1.52	-1.57, 0.96
r_site:id[KUM_D244112,Intercept]	-0.11	-1.87, 1.64	-1.21, 0.98
r_site:id[KUM_D244143,Intercept]	-0.19	-2, 1.59	-1.31, 0.98
r_site:id[KUM_D244144,Intercept]	-0.05	-1.98, 1.71	-1.28, 1.15
r_site:id[KUM_D244147,Intercept]	-0.2	-2.06, 1.4	-1.37, 0.88
r_site:id[KUM_D244183,Intercept]	-0.3	-1.62, 0.85	-1.14, 0.44
r_site:id[KUM_D244186,Intercept]	1.35	0.4, 2.2	0.76, 1.91
r_site:id[LEH_D211334,Intercept]	-1.28	-2.86, 0.09	-2.23, -0.4
r_site:id[LEH_D211490,Intercept]	0.92	-0.39, 2.14	0.09, 1.72
r_site:id[LEH_D217891,Intercept]	-0.42	-2.19, 1.36	-1.54, 0.65
r_site:id[LEH_D229032,Intercept]	-0.25	-1.16, 0.7	-0.85, 0.35
r_site:id[LEH_D229051,Intercept]	-0.67	-2.46, 1.36	-1.86, 0.55
r_site:id[LEH_D229054,Intercept]	-0.16	-1.99, 1.54	-1.29, 0.95
r_site:id[LEH_D229055,Intercept]	-0.25	-2.16, 1.51	-1.42, 0.86
r_site:id[LEH_D229056,Intercept]	-0.07	-1.91, 1.75	-1.24, 1.15
r_site:id[LEH_D229133,Intercept]	0.71	-0.69, 2.11	-0.22, 1.66
r_site:id[LEH_D229518,Intercept]	-0.06	-1.95, 1.76	-1.21, 1.09
r_site:id[LEH_D229560,Intercept]	-0.03	-1.85, 1.9	-1.2, 1.21
r_site:id[LEH_D229646,Intercept]	1.31	0.45, 2.2	0.75, 1.88
r_site:id[LEH_D229648,Intercept]	-0.37	-2.3, 1.75	-1.65, 0.99
r_site:id[LEH_D229742,Intercept]	-0.14	-1.9, 1.65	-1.36, 1.08
r_site:id[LEH_D229776,Intercept]	-0.32	-2.13, 1.75	-1.56, 1.01
