parameter	outer_width	inner_width	point_est	ll	l	m	h	hh
b_Intercept	0.95	0.8	median	-1.9734340713174785	-1.645642347466994	-1.1293793548922118	-0.6239337044233959	-0.3791102159188559
b_scaletotal_load	0.95	0.8	median	-0.3608298818578357	-0.2868010226687278	-0.13214337069170176	0.030387793087202068	0.10745206706398808
b_scalelyre	0.95	0.8	median	-0.07449116980249586	0.06592026556805028	0.312385887272388	0.5550647420064226	0.6893314522001615
b_scaleeyec	0.95	0.8	median	-0.20914597612606076	-0.0971762072070606	0.1284418052466077	0.353094287249376	0.4761972928838176
b_scaleblue	0.95	0.8	median	-0.049236630784104216	0.014773878103662152	0.15377984340108564	0.2895230519124083	0.3643255129799074
b_scaledist	0.95	0.8	median	-0.9314698191097829	-0.8146456304844937	-0.586453385462059	-0.3640981528153014	-0.23342992185394473
b_scaleattend	0.95	0.8	median	0.7134209668732633	0.9077073722659468	1.3233947050576549	1.7413197135646532	2.0080386963501606
b_scalefight	0.95	0.8	median	-0.3262796685800601	-0.23542833773213934	-0.061249056442104724	0.10821104676724465	0.21494248163882762
b_age_catyearling	0.95	0.8	median	-1.0933511679622123	-0.7823888125300336	-0.1715139500445848	0.4181420256571606	0.7413657387380778
sd_site__Intercept	0.95	0.8	median	0.007767785897759351	0.03128656725241284	0.18118399814299307	0.5379140552975673	0.877872335073654
sd_site:id__Intercept	0.95	0.8	median	0.6817542312025592	0.766803341446737	0.9406531372099499	1.1465972824931352	1.278805390235648
sd_year__Intercept	0.95	0.8	median	0.1861229589602889	0.2571665125202478	0.44542576425488967	0.7559144777567772	1.0298626871958594
zi	0.95	0.8	median	0.15098428521706211	0.19750353829123687	0.27689779201903597	0.35561554311713545	0.40050712997977894
r_site[KUM,Intercept]	0.95	0.8	median	-0.3758158729903177	-0.20066887078103596	2.717472583123471e-4	0.24001898221745918	0.47540348832414864
r_site[LEH,Intercept]	0.95	0.8	median	-0.5879461839703217	-0.31763943830337565	-0.02064328363125366	0.16774011006205894	0.38182941348667293
r_site[NYR,Intercept]	0.95	0.8	median	-0.25272270582043127	-0.09116609457719514	0.05177656250540198	0.3958559058481364	0.6804011278671158
r_site[SAA,Intercept]	0.95	0.8	median	-0.37933660486732257	-0.17742508043612976	0.017861736168743033	0.34767831193852605	0.6747560904106645
r_site[TEE,Intercept]	0.95	0.8	median	-0.6279460307198521	-0.33679410480500327	-0.02641735606073158	0.1439115316492562	0.3172920687765048
r_site:id[KUM_D211341,Intercept]	0.95	0.8	median	-0.6551057822946851	-0.20610795513477773	0.6163717550502377	1.4336851364513283	1.8070118366436287
r_site:id[KUM_D211374,Intercept]	0.95	0.8	median	-1.2955891782323383	-0.8754827787117148	-0.06187293704481057	0.7034928352101577	1.1500671929461965
r_site:id[KUM_D211376,Intercept]	0.95	0.8	median	0.025435325559053323	0.36985259996918596	1.1191012901699793	1.8818919706924355	2.227135265474685
r_site:id[KUM_D211385,Intercept]	0.95	0.8	median	-2.220364276361383	-1.548392796892823	-0.38037316596486925	0.712238690445987	1.2740736744671401
r_site:id[KUM_D211401,Intercept]	0.95	0.8	median	-1.895070102407404	-1.1939432164216726	-0.045678869791736874	1.102195970126577	1.816241898382097
r_site:id[KUM_D211403,Intercept]	0.95	0.8	median	-2.030557349586501	-1.3631812746901097	-0.1611618775034115	0.9741580554875566	1.518288602943494
r_site:id[KUM_D211435,Intercept]	0.95	0.8	median	-2.0584102844315617	-1.3349409322193937	-0.11959122317706211	1.016212982423298	1.655738654848028
r_site:id[KUM_D211438,Intercept]	0.95	0.8	median	-1.6930710547900005	-1.0986072036161856	-0.09916955846195984	0.8579856493956219	1.3749661373399797
r_site:id[KUM_D211450,Intercept]	0.95	0.8	median	-2.08543337063742	-1.4040483811854223	-0.2761273806805632	0.7926377477125116	1.569756007204868
r_site:id[KUM_D211456,Intercept]	0.95	0.8	median	-0.8612757329018423	-0.436270202169701	0.42748220477917875	1.2984194248390093	1.8238460297125074
r_site:id[KUM_D211474,Intercept]	0.95	0.8	median	-2.503562601678023	-1.8821283282223797	-0.7468184551328545	0.24901432167444165	0.7602652285718939
r_site:id[KUM_D211478,Intercept]	0.95	0.8	median	-1.4093419155472884	-0.9748175319280707	-0.12383270934190985	0.7190980790801653	1.1344296975550314
r_site:id[KUM_D211482,Intercept]	0.95	0.8	median	-2.2920777668334007	-1.6310252952757385	-0.5019042050676465	0.6435451956258735	1.2162497649752082
r_site:id[KUM_D217818,Intercept]	0.95	0.8	median	-1.9328153645164334	-1.3492463962469394	-0.21181814838747767	0.8986455866422945	1.5277904039926535
r_site:id[KUM_D217896,Intercept]	0.95	0.8	median	-0.42841430600743985	-0.13757114109941024	0.4199147530741969	0.9597862768974491	1.238123339213749
r_site:id[KUM_D217897,Intercept]	0.95	0.8	median	-2.110671435985252	-1.3639273689162625	-0.20557329067203634	0.9019995842501853	1.5508888571577846
r_site:id[KUM_D217969,Intercept]	0.95	0.8	median	-2.115019574663627	-1.4775662129229303	-0.33066611199713963	0.8964013718877177	1.544539026320682
r_site:id[KUM_D217977,Intercept]	0.95	0.8	median	-0.9886740158149421	-0.5673639469020828	0.1644252556404294	0.8220721497726825	1.1865576965701692
r_site:id[KUM_D229043,Intercept]	0.95	0.8	median	-1.9238275267801257	-1.32175205140276	-0.11490468968621767	0.9416383069365595	1.4986268246913894
r_site:id[KUM_D229126,Intercept]	0.95	0.8	median	-1.2476406491457155	-0.6953942969510062	0.3375068280759308	1.3873729029578332	2.0122122627561065
r_site:id[KUM_D229164,Intercept]	0.95	0.8	median	-2.077956577626783	-1.3767415839702928	-0.17696037497503894	0.8905424702999161	1.5160031251145305
r_site:id[KUM_D229165,Intercept]	0.95	0.8	median	-1.8825511770962375	-1.1973365895112982	-0.09951799152005494	1.0368806085997175	1.7271295050037758
r_site:id[KUM_D229167,Intercept]	0.95	0.8	median	1.165273223040226	1.3806412733896636	1.7992025759042782	2.2156927170836176	2.444033862150255
r_site:id[KUM_D229192,Intercept]	0.95	0.8	median	-1.6181568920768474	-1.1781142721863154	-0.4047191111120354	0.3401072932844652	0.7112867682419265
r_site:id[KUM_D229193,Intercept]	0.95	0.8	median	0.0891199375363163	0.3139325088983791	0.7529678812108885	1.2046605107872705	1.418473282986476
r_site:id[KUM_D229509,Intercept]	0.95	0.8	median	-2.055690320767539	-1.3575059052933343	-0.12875827301028048	1.1261018347940726	1.7100325150093554
r_site:id[KUM_D229512,Intercept]	0.95	0.8	median	-0.9048103577936224	-0.46803202728824417	0.4386009033642939	1.3239208600545977	1.7981343606569136
r_site:id[KUM_D229599,Intercept]	0.95	0.8	median	-2.14635104690883	-1.468079834554415	-0.34650466154811477	0.7215788420800141	1.3103167094831467
r_site:id[KUM_D229658,Intercept]	0.95	0.8	median	-1.4147367642797273	-0.9706340570650606	-0.16693238552311138	0.5672780667760536	0.9250641670438113
r_site:id[KUM_D229721,Intercept]	0.95	0.8	median	-1.9950856392880336	-1.4254089819010527	-0.5590371057986598	0.28200861712861475	0.6684874935186541
r_site:id[KUM_D229735,Intercept]	0.95	0.8	median	-2.1017443303314285	-1.309136496172383	-0.14582480550582377	1.022015940071281	1.6208876332759532
r_site:id[KUM_D229737,Intercept]	0.95	0.8	median	-1.0608985086066747	-0.588640776528255	0.2816294623949967	1.0849788519914176	1.4854283558138188
