parameter	outer_width	inner_width	point_est	ll	l	m	h	hh
b_Intercept	0.95	0.8	median	-0.39288908493326974	-0.15925276492772458	0.17493051194558976	0.5129861517445775	0.7211368187369992
b_scaletotal_load	0.95	0.8	median	-0.12826315778748046	-0.0917110690163616	-0.027945124540787916	0.03822124308280997	0.0783033349272023
b_age_catyearling	0.95	0.8	median	-0.8508579632955962	-0.792891719492444	-0.6710914765856719	-0.5534681633128566	-0.48984609069805696
sd_site__Intercept	0.95	0.8	median	0.006464836385940718	0.024763364040410754	0.10908678485435219	0.2809390681507147	0.45662415970080955
sd_site:id__Intercept	0.95	0.8	median	0.20853854471384917	0.28493591947283115	0.3737304999680605	0.4570909151093775	0.4987127549970689
sd_year__Intercept	0.95	0.8	median	0.43672080702196253	0.5125570421572483	0.739059799106786	1.079449141905346	1.3389838518917137
sigma	0.95	0.8	median	0.7050364407969915	0.725323377322498	0.7708459610192411	0.8219621826891708	0.8474014215169056
r_site[KUM,Intercept]	0.95	0.8	median	-0.1600030078297234	-0.06132753580930147	0.028097241222512254	0.15796112023707956	0.2603725765876145
r_site[LEH,Intercept]	0.95	0.8	median	-0.17143132504552933	-0.07475462483199911	0.023656165359640928	0.17585408159958407	0.2941102422962563
r_site[NYR,Intercept]	0.95	0.8	median	-0.36537832791883557	-0.24524393760758248	-0.07922813016603329	0.012437605530724335	0.07026756472969153
r_site[SAA,Intercept]	0.95	0.8	median	-0.2882293953316738	-0.14930384772315414	-0.010423278138300268	0.09644679850676931	0.20070727536123914
r_site[TEE,Intercept]	0.95	0.8	median	-0.18666076626591607	-0.08934303950619381	0.015827979050056656	0.16437640057293745	0.28530833800435024
r_site:id[KUM_D211341,Intercept]	0.95	0.8	median	-0.6973817322639217	-0.47706429837025194	-0.12273623580316684	0.24074007792887284	0.44764457957822956
r_site:id[KUM_D211374,Intercept]	0.95	0.8	median	-0.3853365122488116	-0.1950450116337868	0.14554615903562684	0.5376472669818015	0.7382941272899955
r_site:id[KUM_D211376,Intercept]	0.95	0.8	median	-0.4575596012333762	-0.2551574946320555	0.12284369466134851	0.5214163799748236	0.750907681865382
r_site:id[KUM_D211385,Intercept]	0.95	0.8	median	-0.8626100058644057	-0.6549182833104712	-0.27003927240798653	0.08915468217529489	0.26963838686684066
r_site:id[KUM_D211401,Intercept]	0.95	0.8	median	-0.7703825464767589	-0.5418258882206701	-0.08596713370174677	0.3268295021842539	0.5537830544357067
r_site:id[KUM_D211403,Intercept]	0.95	0.8	median	-0.7827723029899699	-0.5471320747150504	-0.10397066194117852	0.31139158012111645	0.5684896150845314
r_site:id[KUM_D211435,Intercept]	0.95	0.8	median	-0.714777288809439	-0.4773727641082672	-0.07295607721306135	0.3136883704995547	0.4951364149519469
r_site:id[KUM_D211438,Intercept]	0.95	0.8	median	-0.8390870844270745	-0.6301006122726465	-0.28307451549394813	0.0681360841955856	0.26575720647208745
r_site:id[KUM_D211450,Intercept]	0.95	0.8	median	-0.7028733630717442	-0.5021888066259198	-0.0906993527845074	0.30662209642820865	0.5079871754825971
r_site:id[KUM_D211456,Intercept]	0.95	0.8	median	-0.5810580904643429	-0.37632352563950433	0.028277211328870407	0.4261727212773859	0.6687158380658115
r_site:id[KUM_D211474,Intercept]	0.95	0.8	median	-0.8189029242639181	-0.6296368311704411	-0.25712336786444834	0.06867758057895348	0.2566996144336087
r_site:id[KUM_D211478,Intercept]	0.95	0.8	median	-0.37248638377700843	-0.1697349586307928	0.1963696741855163	0.5759051117503043	0.8050130663357974
r_site:id[KUM_D211482,Intercept]	0.95	0.8	median	-0.7628308715222787	-0.5437301117001786	-0.1234535983417096	0.26384884165301703	0.44399710955469757
r_site:id[KUM_D217818,Intercept]	0.95	0.8	median	-0.495897569202005	-0.2687532749573712	0.1003365790140438	0.4876986317001984	0.7267299792006914
r_site:id[KUM_D217896,Intercept]	0.95	0.8	median	-0.7329874024833967	-0.5068291583088467	-0.13878900984950632	0.1836011537791853	0.3556158783247576
r_site:id[KUM_D217897,Intercept]	0.95	0.8	median	-0.40891645323140496	-0.21567910465003817	0.12555188478040352	0.472218702870779	0.6892361762276007
r_site:id[KUM_D217932,Intercept]	0.95	0.8	median	-0.3172805607892462	-0.11297932843877578	0.2980881084333769	0.7697450734159387	1.0590123579937631
r_site:id[KUM_D217969,Intercept]	0.95	0.8	median	-0.6825952080670737	-0.46181151075327903	-0.06319565960920051	0.3234050956195628	0.5350693260191567
r_site:id[KUM_D217977,Intercept]	0.95	0.8	median	-0.99116347896474	-0.7591314670990849	-0.3757731742475435	-0.0017898533130317092	0.1850212520314851
r_site:id[KUM_D229025,Intercept]	0.95	0.8	median	-0.1492843192071955	0.04492442623787042	0.4341018533243758	0.8312258862148687	1.0567266249117029
