parameter	outer_width	inner_width	point_est	ll	l	m	h	hh
b_Intercept	0.95	0.8	median	-0.6001663145510928	-0.4080939414901007	-0.17706580219671314	0.041290164542212335	0.18237675131141823
b_scaletotal_load	0.95	0.8	median	-0.08514717574416261	-0.042272089162703815	0.0360714146098386	0.11704186422718627	0.16320205723385536
b_age_catyearling	0.95	0.8	median	0.4012082708691044	0.4814277211232555	0.6146599178250116	0.7635358738924635	0.8379581049305768
sd_site__Intercept	0.95	0.8	median	0.019837072111383903	0.07116076663756687	0.2273507055681797	0.5435720148559913	0.9036841918267233
sd_site:id__Intercept	0.95	0.8	median	0.41527669761955105	0.4752917415336814	0.5864903313123901	0.6883429029908752	0.7425799867824966
sd_year__Intercept	0.95	0.8	median	0.12410008130122877	0.15908949022947594	0.245991716657724	0.3804782617436739	0.47722434122080104
sigma	0.95	0.8	median	0.6750757756343656	0.6973797448913197	0.754515198237874	0.8143097111219434	0.8477692506192115
r_site[KUM,Intercept]	0.95	0.8	median	-0.1726626757778112	-0.056689216707699115	0.10207978953733648	0.3354344049594712	0.533838206779657
r_site[LEH,Intercept]	0.95	0.8	median	-0.43726937906945484	-0.256597750386094	-0.027145990513245566	0.15875177539304125	0.32650532679809674
r_site[NYR,Intercept]	0.95	0.8	median	-0.22504442401351438	-0.07554869574470033	0.09294492566826591	0.3274702759937585	0.539878842892064
r_site[SAA,Intercept]	0.95	0.8	median	-0.3110499395657559	-0.1438960747607571	0.043570267905733054	0.28242028715441997	0.48888966712571075
r_site[TEE,Intercept]	0.95	0.8	median	-0.7765429863834471	-0.521656855246943	-0.20598613585906164	-6.076217600922838e-4	0.09912717313685962
r_site:id[KUM_D211341,Intercept]	0.95	0.8	median	-0.612650252247102	-0.3680040191186377	0.17113642983609023	0.6687111686012644	0.9443468283927655
r_site:id[KUM_D211374,Intercept]	0.95	0.8	median	-0.9290912187864181	-0.6639350906268391	-0.1402314888201439	0.36694858502309396	0.6254479643010923
r_site:id[KUM_D211376,Intercept]	0.95	0.8	median	-0.16726788702683879	0.06054753989241084	0.4661451251377362	0.8871468419128434	1.1098781694784314
r_site:id[KUM_D211385,Intercept]	0.95	0.8	median	-0.7801803875523885	-0.507121618786099	-0.048664086080495196	0.41683738009425253	0.664073699455161
r_site:id[KUM_D211401,Intercept]	0.95	0.8	median	-1.1055872084091893	-0.7753174140151229	-0.1942744491269545	0.40864616205935084	0.7310208438260155
r_site:id[KUM_D211403,Intercept]	0.95	0.8	median	-1.0936845308386463	-0.7530677614336907	-0.1668330806991355	0.43602594286942953	0.803837676093812
r_site:id[KUM_D211435,Intercept]	0.95	0.8	median	-0.1767800809106901	0.08150089238204516	0.5866248124699285	1.1295411486808247	1.4122369719294545
r_site:id[KUM_D211438,Intercept]	0.95	0.8	median	-0.5017081879327531	-0.20640798267293062	0.27557588653016757	0.7840697186560244	1.083111393621911
r_site:id[KUM_D211450,Intercept]	0.95	0.8	median	-0.6614626260831142	-0.37258942590246247	0.13700219279716885	0.6502312677475096	0.9092170233789922
r_site:id[KUM_D211456,Intercept]	0.95	0.8	median	-0.8180365739013704	-0.5483245462077725	-0.012149127027088702	0.522944494797117	0.8236442588040322
r_site:id[KUM_D211474,Intercept]	0.95	0.8	median	-0.8540974625015123	-0.5940630909952631	-0.17169995446036973	0.24157533549298638	0.47251892930611916
r_site:id[KUM_D211478,Intercept]	0.95	0.8	median	-0.762412769618873	-0.5187629671890256	-0.06273175336084023	0.4038544590807392	0.6261203952924093
r_site:id[KUM_D211482,Intercept]	0.95	0.8	median	-1.2853979404161948	-1.019509763865806	-0.4862884680619136	0.03650050501782254	0.3047340347901108
r_site:id[KUM_D217818,Intercept]	0.95	0.8	median	-0.6888793110479772	-0.4273709588422528	0.06034896436363016	0.594890030485645	0.8371752989250207
r_site:id[KUM_D217896,Intercept]	0.95	0.8	median	-1.0534919437874235	-0.8712400980840429	-0.48141382194257204	-0.10994554210138477	0.10219068573405245
r_site:id[KUM_D217897,Intercept]	0.95	0.8	median	0.09054765390154766	0.374238862159168	0.9112085491901394	1.45946923089534	1.7563964351867387
r_site:id[KUM_D217932,Intercept]	0.95	0.8	median	-1.1977867887141598	-0.8994205971195077	-0.2620581468717015	0.2948097670493333	0.6126286336665993
r_site:id[KUM_D217969,Intercept]	0.95	0.8	median	-0.26049856956049666	-0.02313582551835933	0.48845220480320595	1.0169470297263892	1.3353138113590406
r_site:id[KUM_D217977,Intercept]	0.95	0.8	median	-1.1669010320498088	-0.9004981485406771	-0.42624671717578555	0.053906113410902616	0.2688606579903529
r_site:id[KUM_D229025,Intercept]	0.95	0.8	median	-0.9122625480755158	-0.5940505833723094	-0.004075385787141668	0.5827015856914111	0.9232272346419748
r_site:id[KUM_D229043,Intercept]	0.95	0.8	median	-1.3948136943515952	-1.0938081781291493	-0.5665013192703467	-0.045690430156771766	0.21876116270985793
r_site:id[KUM_D229126,Intercept]	0.95	0.8	median	-0.47979135483682933	-0.2423089319751463	0.2034985839851487	0.6497994886850041	0.9109929242963466
r_site:id[KUM_D229164,Intercept]	0.95	0.8	median	-1.0613186705445234	-0.741456212442368	-0.16377648478237458	0.4164060768440097	0.7321326705841047
r_site:id[KUM_D229165,Intercept]	0.95	0.8	median	-1.1457426221498426	-0.8379182702283144	-0.2898434732642003	0.21528282459622355	0.5070946830866129
r_site:id[KUM_D229167,Intercept]	0.95	0.8	median	-0.7085230951864974	-0.500694091011747	-0.08186890940636632	0.34802604811163235	0.5512676198685081
r_site:id[KUM_D229192,Intercept]	0.95	0.8	median	-1.239596312901464	-0.9728618403617034	-0.45720414196700077	0.054778420560110376	0.31550149190995447
r_site:id[KUM_D229193,Intercept]	0.95	0.8	median	-0.828464856410884	-0.5904707669630227	-0.15996673714825116	0.2261569516669845	0.4076548832697258
r_site:id[KUM_D229509,Intercept]	0.95	0.8	median	-0.9092113054664831	-0.6395086486821018	-0.13093082440432346	0.3700821665275318	0.6272558143417386
r_site:id[KUM_D229512,Intercept]	0.95	0.8	median	-0.5528157433567443	-0.20667654151109185	0.36603233637398896	0.9961761435152012	1.3156000616456671
r_site:id[KUM_D229599,Intercept]	0.95	0.8	median	-0.5179980711178245	-0.28389922404718954	0.23824442359007958	0.7567414693745271	1.0227765600620908
r_site:id[KUM_D229635,Intercept]	0.95	0.8	median	-0.30824448615891914	0.022438709522043382	0.6206052877262563	1.2709074924617683	1.6306285500769753
r_site:id[KUM_D229658,Intercept]	0.95	0.8	median	-0.9279272458770722	-0.7370930408696035	-0.298943720512873	0.11041834134565565	0.350794843439487
r_site:id[KUM_D229679,Intercept]	0.95	0.8	median	-0.3788739740522138	-0.16796690411995788	0.33474138562158134	0.8106751625505852	1.0333004735980067
r_site:id[KUM_D229721,Intercept]	0.95	0.8	median	-0.8094450398464806	-0.5948904014428666	-0.12171367751024664	0.33289558935390084	0.6046261663361255
r_site:id[KUM_D229734,Intercept]	0.95	0.8	median	-0.15403213467377705	0.0915626291917795	0.5364917708102063	1.0083801784202129	1.2249009878759716
r_site:id[KUM_D229735,Intercept]	0.95	0.8	median	-0.13154249131622225	0.1427303779229248	0.7353175227786768	1.3627318434330948	1.7265985459702948
r_site:id[KUM_D229737,Intercept]	0.95	0.8	median	-0.8240127481971972	-0.6084664086850333	-0.18580007207556432	0.21891164892342602	0.4272914974499255
r_site:id[KUM_D237206,Intercept]	0.95	0.8	median	-1.2160797581288096	-0.9733185289257021	-0.466849039165164	0.08532608496279608	0.33266705871961494
r_site:id[KUM_D237235,Intercept]	0.95	0.8	median	-0.9815427697996325	-0.6557923940169345	-0.09230188409574008	0.5663368637873517	0.8441372756652945
r_site:id[KUM_D237258,Intercept]	0.95	0.8	median	-0.8300496370759916	-0.604766073003158	-0.23039456297384137	0.12518742993010362	0.3387929257179971
r_site:id[KUM_D237310,Intercept]	0.95	0.8	median	-0.7249402327875021	-0.3985709192793457	0.1866543833298906	0.7846176752730467	1.0793583958698207
r_site:id[KUM_D237311,Intercept]	0.95	0.8	median	-0.7831114034495306	-0.5298404467974602	-0.06849521706145839	0.37961230699349946	0.6756134051649706
r_site:id[KUM_D237313,Intercept]	0.95	0.8	median	-0.9565499695317884	-0.728481222198823	-0.33001631961042127	0.06486279102992573	0.29198287266846884
r_site:id[KUM_D237325,Intercept]	0.95	0.8	median	0.12194209197547838	0.4683810740942359	1.1036916562274266	1.8146347186367429	2.1819532187055106
r_site:id[KUM_D237327,Intercept]	0.95	0.8	median	-0.5045006634529351	-0.22444985441094764	0.2657597747541812	0.784229369249172	1.0435442239138442
r_site:id[KUM_D237337,Intercept]	0.95	0.8	median	-0.5571703385899405	-0.32534212995711614	0.08393300874516438	0.48842272179632185	0.6855414362122668
r_site:id[KUM_D237339,Intercept]	0.95	0.8	median	-1.256008574977858	-0.9894425958900877	-0.46868610858200843	0.04040157455439934	0.3537610739473285
