parameter	outer_width	inner_width	point_est	ll	l	m	h	hh
b_Intercept	0.95	0.8	median	0.25413400404242953	0.35387425751596663	0.538691707482806	0.7260031907989659	0.8443034373400955
b_scaletotal_load	0.95	0.8	median	-0.08958035458965952	-0.06210517278731188	-0.0033313722152224093	0.05030920335546646	0.086595717808816
b_age_catyearling	0.95	0.8	median	-1.4676333802399775	-1.4135294435282975	-1.3101299717388732	-1.2076092231862063	-1.1564749612324143
sd_site__Intercept	0.95	0.8	median	0.0035135743725185384	0.014201278667750823	0.07667731283642543	0.23056153452726333	0.39447590429089824
sd_site:id__Intercept	0.95	0.8	median	0.18979890174885444	0.24435054279903962	0.32774790048123104	0.39955956377172397	0.4370835517945729
sd_year__Intercept	0.95	0.8	median	0.19770394820620804	0.24608761147832267	0.3522897722789151	0.5307791888922487	0.678240225048981
sigma	0.95	0.8	median	0.6063574068703504	0.6210226342912831	0.6592279337740277	0.7032739315606321	0.7263600735944661
r_site[KUM,Intercept]	0.95	0.8	median	-0.16957283577951723	-0.07724902292351661	0.001513182481214325	0.09713585077150728	0.18037297562807178
r_site[LEH,Intercept]	0.95	0.8	median	-0.26341724645880465	-0.13418657348354068	-0.00977869888803715	0.060678586724473974	0.1317293159899746
r_site[NYR,Intercept]	0.95	0.8	median	-0.22568213900203016	-0.12896115010849438	-0.015187272871446734	0.04715889082309538	0.12299809355762155
r_site[SAA,Intercept]	0.95	0.8	median	-0.2583078045417932	-0.1385859697627737	-0.0092687711774577	0.060899978393023	0.12824277144860968
r_site[TEE,Intercept]	0.95	0.8	median	-0.07221697230402493	-0.02201489446871257	0.04112279023427842	0.2175350566052498	0.32138332134902575
r_site:id[KUM_D211341,Intercept]	0.95	0.8	median	-0.9664795999171577	-0.7540140981475197	-0.366225546359621	-0.023498671401878328	0.17905669071844682
r_site:id[KUM_D211374,Intercept]	0.95	0.8	median	-0.6910312756461853	-0.5016013740473528	-0.13510018297322518	0.1896214203851891	0.3546061213868322
r_site:id[KUM_D211376,Intercept]	0.95	0.8	median	-0.5610192722460958	-0.400280210047591	-0.05493234987990142	0.2738252604444773	0.4598843114305612
r_site:id[KUM_D211385,Intercept]	0.95	0.8	median	-0.5163039021053781	-0.3334672979622282	-0.0393087872120271	0.2533302659376795	0.4278134786165221
r_site:id[KUM_D211401,Intercept]	0.95	0.8	median	-0.5731406679968242	-0.394659917306436	-0.006439885016101746	0.3552085207746719	0.5733176970013515
r_site:id[KUM_D211403,Intercept]	0.95	0.8	median	-0.4947694955274301	-0.2878462307704107	0.06080121001323244	0.4433904136054889	0.6739892816315365
r_site:id[KUM_D211435,Intercept]	0.95	0.8	median	-0.5375166310017179	-0.3681785849066198	-0.02955936559391739	0.31018187665255986	0.4969250532932741
r_site:id[KUM_D211438,Intercept]	0.95	0.8	median	-0.4276974856979772	-0.2803038512735186	-0.003055656729647308	0.3131856591965967	0.4759585782492026
r_site:id[KUM_D211450,Intercept]	0.95	0.8	median	-0.6313922750249972	-0.4666766480159621	-0.10208645982802904	0.2304378049932904	0.4163707829041817
r_site:id[KUM_D211456,Intercept]	0.95	0.8	median	-0.5910404117572504	-0.39278467561722286	-0.015717142272024302	0.32889195803800864	0.5412259025892759
r_site:id[KUM_D211474,Intercept]	0.95	0.8	median	-0.046468310287861546	0.10509165478035065	0.4250061592485813	0.7697831161889743	0.9543271643591447
r_site:id[KUM_D211478,Intercept]	0.95	0.8	median	-0.09236438347068965	0.07477802641431112	0.4229548462182962	0.7848423931902159	0.9650249240397087
r_site:id[KUM_D211482,Intercept]	0.95	0.8	median	-0.7496772587728088	-0.5422710254032906	-0.16699964483613738	0.1739716850140044	0.3459487754100168
r_site:id[KUM_D217818,Intercept]	0.95	0.8	median	-0.7018669361929887	-0.510706303024581	-0.11578756020420035	0.20304212849387213	0.3846712692050776
