parameter	outer_width	inner_width	point_est	ll	l	m	h	hh
b_Intercept	0.95	0.8	median	-0.271651578508272	-0.10699626300144893	0.10975109321491315	0.30767092228680787	0.4832198318717113
b_scaletotal_load	0.95	0.8	median	-0.09145433123463677	-0.05628455386044849	0.013959203845356535	0.08072378431373055	0.11679950579835006
b_age_catyearling	0.95	0.8	median	-0.8332756506644386	-0.7499857438392517	-0.594877435489058	-0.4443351050598323	-0.3676758213486385
sd_site__Intercept	0.95	0.8	median	0.08096450142578995	0.12342752806929196	0.2500601465251195	0.5192631629842783	0.8638351188763951
sd_site:id__Intercept	0.95	0.8	median	0.016546408333097104	0.06093389105907546	0.23891373073181588	0.38191743340007067	0.4449370701033182
sd_year__Intercept	0.95	0.8	median	0.031889256223799935	0.07813554869677328	0.18118934758984873	0.31926145717308885	0.41415244705309684
sigma	0.95	0.8	median	0.8259303700964039	0.8570639781268189	0.9144644654545682	0.9677584975261637	0.9993823048805113
r_site[KUM,Intercept]	0.95	0.8	median	-0.1297509728266878	0.003303725127572962	0.18433327674852731	0.40529383244824857	0.5661397375568714
r_site[LEH,Intercept]	0.95	0.8	median	-0.21900582481475864	-0.07426400450655957	0.12220952333763797	0.3657589124775854	0.5681828295871201
r_site[NYR,Intercept]	0.95	0.8	median	-0.615694699951509	-0.44674197106957947	-0.22006620178400405	-0.03341468125971385	0.09107560354456408
r_site[SAA,Intercept]	0.95	0.8	median	-0.41715045137939916	-0.23533586171590992	-0.023735312292730872	0.19931480810445337	0.3556699526610198
r_site[TEE,Intercept]	0.95	0.8	median	-0.43708368497248296	-0.282654052503178	-0.04435083373386797	0.15927009930698557	0.3404265764627104
r_site:id[KUM_D211341,Intercept]	0.95	0.8	median	-0.39125102217202323	-0.19407260434967488	0.037400933870667535	0.3756966645404209	0.6186100221898243
r_site:id[KUM_D211374,Intercept]	0.95	0.8	median	-0.45062539237290444	-0.23760252421396028	0.014595634041442238	0.33796772367407324	0.5488492883457576
r_site:id[KUM_D211376,Intercept]	0.95	0.8	median	-0.4165283949159106	-0.24706648955328206	0.003666626211177907	0.2772983279256718	0.47556060919812754
r_site:id[KUM_D211385,Intercept]	0.95	0.8	median	-0.45633106571255877	-0.2817977880661503	-0.003581389880075481	0.24892299046610838	0.45521838395385755
r_site:id[KUM_D211401,Intercept]	0.95	0.8	median	-0.6586328680817197	-0.39978880531835465	-0.0410148930635913	0.2093324974109962	0.42279368544867196
