parameter	outer_width	inner_width	point_est	ll	l	m	h	hh
b_Intercept	0.95	0.8	median	0.5693521679869396	0.6275854877715953	0.7107726482978989	0.7955954741812807	0.8484075003303242
b_scaletotal_load	0.95	0.8	median	-0.09642031536606668	-0.07286557504783324	-0.028261984288878238	0.015253929790061512	0.0367804394480739
b_age_catyearling	0.95	0.8	median	-1.8565294041420872	-1.824621123763074	-1.7674794609611655	-1.715112228285501	-1.6849440103918671
sd_site__Intercept	0.95	0.8	median	0.0023897514255799683	0.009737692348562805	0.05216029862904491	0.16408933864944963	0.2893971006787887
sd_site:id__Intercept	0.95	0.8	median	0.31940830571321477	0.33747216529524726	0.37502156403232134	0.41374151296297024	0.4372428761218222
sd_year__Intercept	0.95	0.8	median	0.03466781653105601	0.05519554188088845	0.09974066836298012	0.17123694532141948	0.22616268869476036
sigma	0.95	0.8	median	0.3247358500977602	0.3343094839670795	0.3546850043862477	0.3777919203305575	0.3882183418909312
r_site[KUM,Intercept]	0.95	0.8	median	-0.1366783332170136	-0.0714460482719801	-0.002411275157544704	0.049191247699359085	0.10686798818585568
r_site[LEH,Intercept]	0.95	0.8	median	-0.16592883669646127	-0.09156266060673486	-0.0049265841614574285	0.045890204994786674	0.10571560685430552
r_site[NYR,Intercept]	0.95	0.8	median	-0.1772695080612822	-0.09963698270146823	-0.011027236142533054	0.03764506021779355	0.08955921306316458
r_site[SAA,Intercept]	0.95	0.8	median	-0.1203613844506939	-0.04656112414120437	0.00604554002785113	0.0885656085810518	0.18274159912572185
r_site[TEE,Intercept]	0.95	0.8	median	-0.07461414287670622	-0.02393604211877007	0.019206107208397716	0.1396193634860468	0.231602926196579
r_site:id[KUM_D211341,Intercept]	0.95	0.8	median	-0.3756003444323902	-0.24797791404030572	-0.013095198817501732	0.22508380930786265	0.3486302982038354
r_site:id[KUM_D211374,Intercept]	0.95	0.8	median	-0.07968905186660133	0.04349369837830507	0.2863681190266355	0.5154080728426905	0.6308849919406263
r_site:id[KUM_D211376,Intercept]	0.95	0.8	median	0.2122117688043471	0.35138041540019005	0.5983755954794401	0.8304155132414732	0.9526692733163636
r_site:id[KUM_D211385,Intercept]	0.95	0.8	median	-0.93570184341923	-0.8164200674028776	-0.5978110261800074	-0.3570121121088547	-0.23217206364525905
r_site:id[KUM_D211401,Intercept]	0.95	0.8	median	-0.47092373870327703	-0.2880994000378166	0.03616066177073525	0.37107176729111147	0.5438684332324616
r_site:id[KUM_D211403,Intercept]	0.95	0.8	median	-0.6199501852328677	-0.4498357075178534	-0.1064292653055657	0.24281522810551082	0.41047228258538004
r_site:id[KUM_D211435,Intercept]	0.95	0.8	median	-0.7742263977612751	-0.6110432022329182	-0.33190003052233613	-0.06217305137475117	0.09420274785392939
r_site:id[KUM_D211438,Intercept]	0.95	0.8	median	-0.2197405498229353	-0.1128402781303214	0.09537114730343729	0.31638683069615253	0.4260505865024637
r_site:id[KUM_D211450,Intercept]	0.95	0.8	median	-0.4223214422250769	-0.27639227131322475	-0.014575792439623498	0.2699755231934191	0.39250449978278473
r_site:id[KUM_D211456,Intercept]	0.95	0.8	median	-1.0585789389460356	-0.9093895445265726	-0.6080344655050653	-0.31238868880874066	-0.13185083938540235
r_site:id[KUM_D211474,Intercept]	0.95	0.8	median	-0.6576105147080795	-0.5517966525107083	-0.3336683292213077	-0.12115157907283794	-0.005257698269286168
r_site:id[KUM_D211478,Intercept]	0.95	0.8	median	-0.24734518665440575	-0.14206161418657795	0.10026225875203845	0.346461178393334	0.4710443765852427
r_site:id[KUM_D211482,Intercept]	0.95	0.8	median	-0.5463287097407333	-0.40034743742523365	-0.12323367730337553	0.14253268053017182	0.30292751123832073
r_site:id[KUM_D217818,Intercept]	0.95	0.8	median	-0.5105670327090712	-0.3642705251463987	-0.09571147733852658	0.17092877572813103	0.3237484694304436
r_site:id[KUM_D217896,Intercept]	0.95	0.8	median	-0.6434529657718757	-0.5512367228491665	-0.3420574829548925	-0.12904495914866979	-0.011868550260529446
r_site:id[KUM_D217897,Intercept]	0.95	0.8	median	0.14053875129154955	0.2647682291484192	0.499107953848691	0.7395670648118439	0.862104582650358
