parameter	outer_width	inner_width	point_est	ll	l	m	h	hh	region	loadtype
b_scalehigh_load_t_add_promoter	0.95	0.8	median	-0.16419572379851144	-0.134239405221948	-0.08041477253861037	-0.024868058099660507	0.0054038968496190375	Promoter	Total
b_scalehigh_load_t_add_tss	0.95	0.8	median	-0.11195405791579778	-0.08504671320507078	-0.026690069266105836	0.02703687496296091	0.05583477568716967	TSS	Total
b_scalehigh_load_t_add_gene	0.95	0.8	median	-0.11175953125408529	-0.08097900876396888	-0.0273213996848353	0.026384177728359565	0.053736695090432586	Gene body	Total
b_scalehigh_load_t_add_down	0.95	0.8	median	-0.07233585547062996	-0.038208296449849695	0.024983689671185534	0.08624305415016142	0.12255038978553083	Downstream	Total
b_scalehigh_load_t_add_up	0.95	0.8	median	-0.022967419685966023	0.004017037789800209	0.054687314210042484	0.10731368396443738	0.13500648297303577	Upstream	Total
b_scalehigh_load_t_add_intron	0.95	0.8	median	-0.1766002932063267	-0.14706480038062356	-0.0961646832988306	-0.04116370412887037	-0.017123340052932663	Intron	Total
b_scalehigh_load_t_add_exon	0.95	0.8	median	-0.10794762466497056	-0.08006038994073263	-0.02888348582919605	0.026711856608011956	0.055050581750538397	Exon	Total
b_scalehigh_load_e_promoter	0.95	0.8	median	-0.1306146186568991	-0.10006992712075087	-0.03725428843985691	0.025667577752414274	0.05585479396651778	Promoter	Expressed
b_scalehigh_load_e_tss	0.95	0.8	median	-0.03165355506661311	0.004609097146735574	0.06735692805020707	0.12973436413312883	0.16288309021466726	TSS	Expressed
b_scalehigh_load_e_gene	0.95	0.8	median	-0.09789028797499469	-0.06304919416713722	0.001821409657860002	0.0618558543552837	0.09942089228263014	Gene body	Expressed
b_scalehigh_load_e_down	0.95	0.8	median	-0.07440139516549414	-0.03679332578056079	0.03616653979654987	0.11182697368708776	0.1460912038998484	Downstream	Expressed
b_scalehigh_load_e_up	0.95	0.8	median	-0.005607513805682874	0.02680939830249633	0.08269852955033087	0.14419588931136826	0.17331392590433242	Upstream	Expressed
b_scalehigh_load_e_intron	0.95	0.8	median	-0.12268525254769727	-0.08898329633445776	-0.028207826322718288	0.026485523392852844	0.0608195206371659	Intron	Expressed
b_scalehigh_load_e_exon	0.95	0.8	median	-0.10106955910889752	-0.06655491204145646	-0.0014423737691304245	0.0636257081670615	0.09838366221089744	Exon	Expressed
b_scalehigh_load_m_promoter	0.95	0.8	median	-0.2135268019959218	-0.18303294244885404	-0.12196561522065634	-0.061948682637031946	-0.03200608616650261	Promoter	Masked
b_scalehigh_load_m_tss	0.95	0.8	median	-0.19358996850114846	-0.16692914093809538	-0.10968025488204414	-0.051489872202996945	-0.026114284465945374	TSS	Masked
b_scalehigh_load_m_gene	0.95	0.8	median	-0.16576382674328913	-0.13282721275972834	-0.06888282769109114	-0.0037942299503648377	0.027387181864618523	Gene body	Masked
b_scalehigh_load_m_down	0.95	0.8	median	-0.08630182766939352	-0.05515338926941586	0.01680178471542595	0.08181229092660054	0.12040606102315453	Downstream	Masked
b_scalehigh_load_m_up	0.95	0.8	median	-0.10237235130519487	-0.07208714434472975	-0.00772582611000493	0.05910645922033591	0.0903605575857605	Upstream	Masked
b_scalehigh_load_m_intron	0.95	0.8	median	-0.34281495774734005	-0.31103920857492307	-0.2440330161055415	-0.18243172619771808	-0.15018904793972448	Intron	Masked
b_scalehigh_load_m_exon	0.95	0.8	median	-0.16611598135132744	-0.13399683469613305	-0.0703389744214698	-0.00785085120791966	0.030903472807601733	Exon	Masked
