parameter	median	ci_95	ci_80
b_Intercept	1.74	0.85, 2.34	1.29, 2.1
b_scalehet_load	-0.6	-0.78, -0.41	-0.72, -0.48
b_scalehom_load	-0.57	-0.76, -0.39	-0.7, -0.45
b_coreno_core	0.33	0.13, 0.52	0.2, 0.45
sd_site__Intercept	0.61	0.29, 1.82	0.36, 1.16
zi	0.49	0.43, 0.57	0.45, 0.54
r_site[KUM,Intercept]	-0.06	-0.69, 0.82	-0.44, 0.38
r_site[LEH,Intercept]	-0.42	-1.1, 0.45	-0.83, 0.02
r_site[NYR,Intercept]	-0.19	-0.81, 0.69	-0.58, 0.27
r_site[SAA,Intercept]	0.79	0.19, 1.71	0.42, 1.25
r_site[TEE,Intercept]	0.09	-0.54, 0.99	-0.3, 0.55
lprior	-7.12	-7.56, -6.82	-7.38, -6.93
lp__	-582.12	-589.03, -577.97	-586.1, -579.02
