parameter,outer_width,inner_width,point_est,ll,l,m,h,hh
b_Intercept,0.95,0.8,median,0.578456153120523,0.628296685728829,0.716788191520972,0.801034819442592,0.865674059175095
b_scaletotal_load,0.95,0.8,median,-0.0362372051426597,-0.0103854532702473,0.0362640723360842,0.0789398325829856,0.102219175095839
b_age_catyearling,0.95,0.8,median,-1.84723778462085,-1.82431210215287,-1.77208983213406,-1.71662812302236,-1.68776600157932
sd_site__Intercept,0.95,0.8,median,0.00243267638568979,0.00954361058908171,0.053354740292207,0.169173453280025,0.281221693952046
sd_site:id__Intercept,0.95,0.8,median,0.320899443401133,0.339142220695389,0.374128480124514,0.413848933066305,0.436181346680575
sd_year__Intercept,0.95,0.8,median,0.0373142263789013,0.0538248732614559,0.0990272635808953,0.173100176963381,0.232306735528312
sigma,0.95,0.8,median,0.323123061635068,0.333019206871417,0.352999157570162,0.375834615443068,0.389907566704227
r_site[KUM,Intercept],0.95,0.8,median,-0.146183427878109,-0.0739700001349557,-0.00418413271512515,0.0464192870281247,0.117417638773653
r_site[LEH,Intercept],0.95,0.8,median,-0.167308332396148,-0.091675726203994,-0.00393013389336174,0.0481714965132082,0.11499970842487
r_site[NYR,Intercept],0.95,0.8,median,-0.171199226065858,-0.0966173496404323,-0.0112768483843575,0.0322362247738771,0.0833834052598255
r_site[SAA,Intercept],0.95,0.8,median,-0.110504571390479,-0.04376556037182,0.00614029882992106,0.0888255970840881,0.157702182564295
r_site[TEE,Intercept],0.95,0.8,median,-0.0703747233758754,-0.0210633743133556,0.0235810382174887,0.146197680717465,0.240446756785501
r_site:id[KUM_D211341,Intercept],0.95,0.8,median,-0.437637164780263,-0.307733572751416,-0.0495631880347687,0.176324200272092,0.322444367249417
r_site:id[KUM_D211374,Intercept],0.95,0.8,median,-0.0765806620761774,0.0525725002848255,0.300261718086049,0.540171138248115,0.664444836183195
r_site:id[KUM_D211376,Intercept],0.95,0.8,median,0.191591391198213,0.319709955543136,0.553617197818703,0.795730825972798,0.918366060053504
r_site:id[KUM_D211385,Intercept],0.95,0.8,median,-0.959160921976063,-0.835106603584041,-0.623661359125691,-0.398055100173569,-0.280954935557424
r_site:id[KUM_D211401,Intercept],0.95,0.8,median,-0.513043089773881,-0.316195660430851,0.00775615138254471,0.343476003647724,0.526105389297992
r_site:id[KUM_D211403,Intercept],0.95,0.8,median,-0.633242972756731,-0.454518448198465,-0.123249551417992,0.233383780143494,0.401411256357998
r_site:id[KUM_D211435,Intercept],0.95,0.8,median,-0.774691132698521,-0.647129968417026,-0.359048243572193,-0.0802464637953762,0.0576479763760143
r_site:id[KUM_D211438,Intercept],0.95,0.8,median,-0.270333050491532,-0.155781712561256,0.0633283311792158,0.262215583915264,0.391402131631929
r_site:id[KUM_D211450,Intercept],0.95,0.8,median,-0.476899898303148,-0.307276695482064,-0.0302024765452926,0.236241472813874,0.3813645456797
r_site:id[KUM_D211456,Intercept],0.95,0.8,median,-0.921532555480041,-0.770634680605855,-0.488412250868008,-0.196623811691587,-0.0601455157793116
r_site:id[KUM_D211474,Intercept],0.95,0.8,median,-0.724362040519082,-0.601170666092177,-0.370881645162286,-0.142357392480305,-0.0382221828064356
r_site:id[KUM_D211478,Intercept],0.95,0.8,median,-0.281129553712058,-0.156571240820924,0.0777318586080134,0.316987170754415,0.44969127793314
r_site:id[KUM_D211482,Intercept],0.95,0.8,median,-0.516806591476247,-0.39436595159187,-0.123293132564207,0.147734456252378,0.330348655110165
r_site:id[KUM_D217818,Intercept],0.95,0.8,median,-0.550503551491921,-0.40510916882696,-0.134215415304269,0.136723586396284,0.260459128290805
r_site:id[KUM_D217896,Intercept],0.95,0.8,median,-0.700717000738397,-0.573970784936388,-0.368380079323986,-0.156035495682756,-0.0354467387834328
r_site:id[KUM_D217897,Intercept],0.95,0.8,median,0.163381282507612,0.297396964272808,0.521891705373805,0.753775227730203,0.904853897633468
r_site:id[KUM_D217932,Intercept],0.95,0.8,median,-0.136730509163935,0.0244279330865987,0.34775015840149,0.690856429587023,0.858675789033889
r_site:id[KUM_D217969,Intercept],0.95,0.8,median,0.211577015183699,0.370725404601844,0.656011876178402,0.925234894726455,1.06735072572516
r_site:id[KUM_D217977,Intercept],0.95,0.8,median,-0.540091076870809,-0.410533492035313,-0.176827362715891,0.0434520435808875,0.153426177897973
r_site:id[KUM_D229025,Intercept],0.95,0.8,median,-0.116488980088799,0.010827272044357,0.240305050443631,0.466352258925065,0.609156421053022
r_site:id[KUM_D229043,Intercept],0.95,0.8,median,-0.515268723088281,-0.322092118552291,0.0200405147464709,0.348455313777626,0.533102381177767
r_site:id[KUM_D229126,Intercept],0.95,0.8,median,-0.753245850189994,-0.60692292838044,-0.331080376634965,-0.0560215396705963,0.0922407665163009
r_site:id[KUM_D229164,Intercept],0.95,0.8,median,-0.498179219152407,-0.316997749618646,0.0217872889143357,0.34853710795708,0.531808199115833
r_site:id[KUM_D229165,Intercept],0.95,0.8,median,-0.888596477245568,-0.764154549232974,-0.550937528760496,-0.335321107557475,-0.229470651120197
r_site:id[KUM_D229167,Intercept],0.95,0.8,median,-0.478873421925096,-0.360079741990258,-0.154939588958401,0.0501079994363819,0.170907973269368
r_site:id[KUM_D229192,Intercept],0.95,0.8,median,-0.0534490766915078,0.0673667755353006,0.328314472891897,0.601804149871346,0.759682841243898
r_site:id[KUM_D229193,Intercept],0.95,0.8,median,-0.166347099929419,-0.0509571075168341,0.182192860770046,0.395410292442555,0.523908590884804
r_site:id[KUM_D229509,Intercept],0.95,0.8,median,-0.361509686186461,-0.231054496924949,0.0314263566069245,0.302861684897911,0.453537185071308
r_site:id[KUM_D229512,Intercept],0.95,0.8,median,-0.66321854708852,-0.531818914380331,-0.255259559215137,0.009956154614882,0.155325650822369
r_site:id[KUM_D229599,Intercept],0.95,0.8,median,0.0505233132252725,0.198558030864605,0.486537512652635,0.771671279794125,0.92581960723827
