parameter,outer_width,inner_width,point_est,ll,l,m,h,hh
b_Intercept,0.95,0.8,median,0.25620229579507,0.340248197293645,0.448797154874898,0.57122267435926,0.658864249570118
b_scaletotal_load,0.95,0.8,median,-0.185208588563262,-0.154583203142276,-0.100940886274233,-0.0463078795871725,-0.0133933905592339
b_age_catyearling,0.95,0.8,median,-1.3120343558054,-1.25883600938985,-1.1549658567389,-1.04799806383832,-0.992464581428426
sd_site__Intercept,0.95,0.8,median,0.00253774083438585,0.0113835210706619,0.0628730274133157,0.199087919435453,0.346637469062633
sd_site:id__Intercept,0.95,0.8,median,0.059000976646664,0.149075361384504,0.28162961605511,0.383598269497839,0.433493532573118
sd_year__Intercept,0.95,0.8,median,0.0116378622696409,0.0379422248835168,0.131077853374155,0.252061946415805,0.34719423640132
sigma,0.95,0.8,median,0.698495794285096,0.722873270391742,0.767101788763779,0.812839772500508,0.83599073975512
r_site[KUM,Intercept],0.95,0.8,median,-0.185418583420788,-0.104347228424487,-0.00726511958635213,0.0512923770548812,0.12041487117676
r_site[LEH,Intercept],0.95,0.8,median,-0.250043080946858,-0.145844435946615,-0.010179604754699,0.0432303207554971,0.119373570451519
r_site[NYR,Intercept],0.95,0.8,median,-0.184679759045588,-0.096340596513404,-0.0040017566063177,0.0584690356581207,0.135064328106683
r_site[SAA,Intercept],0.95,0.8,median,-0.0903399442841124,-0.0345769501281843,0.0206610981143054,0.158686361039984,0.2709950146581
r_site[TEE,Intercept],0.95,0.8,median,-0.177371880764592,-0.0769357433898527,0.00121128075363935,0.0895040722672992,0.172692491398999
r_site:id[KUM_D211341,Intercept],0.95,0.8,median,-0.562982698634932,-0.387538628428817,-0.0610796074112384,0.213580401090058,0.374881095005869
r_site:id[KUM_D211374,Intercept],0.95,0.8,median,-0.609793374181097,-0.441681521148337,-0.11873896690648,0.138658558588548,0.292737777748002
r_site:id[KUM_D211376,Intercept],0.95,0.8,median,-0.662836471592304,-0.46735062241055,-0.121799064462275,0.114656266688885,0.268056319692056
r_site:id[KUM_D211385,Intercept],0.95,0.8,median,-0.465039109635014,-0.299334785477008,-0.00249998256599899,0.285423737545971,0.45470419968003
r_site:id[KUM_D211401,Intercept],0.95,0.8,median,-0.472226581899634,-0.259971272909946,0.0541007212284502,0.406414136240908,0.673863087021869
r_site:id[KUM_D211403,Intercept],0.95,0.8,median,-0.351776925881588,-0.146683988646458,0.137952639460927,0.546558152473233,0.817111122718507
r_site:id[KUM_D211435,Intercept],0.95,0.8,median,-0.748957173084326,-0.546818603305856,-0.174249135876601,0.107973966048626,0.266203763220838
r_site:id[KUM_D211438,Intercept],0.95,0.8,median,-0.711939065025381,-0.513914815621171,-0.174393658631362,0.086695274035511,0.221044919152741
r_site:id[KUM_D211450,Intercept],0.95,0.8,median,-0.493257711873035,-0.309765153632716,-0.00201140400307381,0.305470273521928,0.515359487544157
r_site:id[KUM_D211456,Intercept],0.95,0.8,median,-0.443548124203984,-0.243863339025594,0.0504320526515809,0.387845379616975,0.592095047211343
r_site:id[KUM_D211474,Intercept],0.95,0.8,median,-0.362085233138046,-0.207314600820404,0.0502100387971963,0.373688001247136,0.542168211872911
r_site:id[KUM_D211478,Intercept],0.95,0.8,median,-0.440946678997656,-0.254188646797457,0.0264790284724011,0.322843814665095,0.497362849706557
r_site:id[KUM_D211482,Intercept],0.95,0.8,median,-0.266866185837838,-0.0982808835143341,0.198802129284538,0.572321254492758,0.792553193774858
r_site:id[KUM_D217818,Intercept],0.95,0.8,median,-0.686699310346819,-0.514078889657817,-0.195292181797627,0.0601953110795351,0.211525419689387
r_site:id[KUM_D217896,Intercept],0.95,0.8,median,-0.446100921122332,-0.281514804648627,-0.00787553758464151,0.251191678940106,0.412762778562098
r_site:id[KUM_D217897,Intercept],0.95,0.8,median,-0.501018845691761,-0.299560225036906,0.0143549307906856,0.30566567659697,0.499555524354475
r_site:id[KUM_D217932,Intercept],0.95,0.8,median,-0.632471672755665,-0.410400633793781,-0.0733935954265209,0.207251826001257,0.383178469007511
r_site:id[KUM_D217969,Intercept],0.95,0.8,median,-0.57331235962627,-0.379906642336911,-0.0358529055761563,0.251138041260486,0.446298171317322
r_site:id[KUM_D217977,Intercept],0.95,0.8,median,-0.263755293282369,-0.121362886363214,0.163149409416685,0.518328076281836,0.710418352475288
r_site:id[KUM_D229025,Intercept],0.95,0.8,median,-0.60769965075467,-0.379948337335719,-0.0407227141008814,0.238785096773024,0.439815998866968
r_site:id[KUM_D229043,Intercept],0.95,0.8,median,-0.478027785382977,-0.273544620745976,0.0275006906952225,0.3537643087025,0.548229026327447
r_site:id[KUM_D229126,Intercept],0.95,0.8,median,-0.333875546018659,-0.166557843506252,0.0880423820742936,0.402284732245895,0.590186377823291
r_site:id[KUM_D229164,Intercept],0.95,0.8,median,-0.341019221786361,-0.157854038523436,0.126660235677884,0.503720506170637,0.771650596420537
r_site:id[KUM_D229165,Intercept],0.95,0.8,median,-0.911337437436988,-0.674014222155715,-0.282158864255688,0.00759045135404786,0.136573748309221
r_site:id[KUM_D229167,Intercept],0.95,0.8,median,-0.259880749204233,-0.11375478773875,0.159458577972631,0.469303180299228,0.645869068039081
r_site:id[KUM_D229192,Intercept],0.95,0.8,median,-0.325325028598072,-0.148960685749957,0.128552608588928,0.487984624413759,0.699173465531624
r_site:id[KUM_D229193,Intercept],0.95,0.8,median,-0.503866110197126,-0.348964412053126,-0.0446336863880949,0.204738741676014,0.357397245111771
r_site:id[KUM_D229509,Intercept],0.95,0.8,median,-0.928775469854964,-0.679261793577946,-0.282209506663609,0.00913904570611741,0.152104131827115
r_site:id[KUM_D229512,Intercept],0.95,0.8,median,-0.619697935401728,-0.413561259572205,-0.086574039495319,0.176317042975773,0.370466328892313
r_site:id[KUM_D229599,Intercept],0.95,0.8,median,-0.635470157003947,-0.438412930354011,-0.0983685672912687,0.161963319992007,0.322031052266127
r_site:id[KUM_D229635,Intercept],0.95,0.8,median,-0.531381097442656,-0.339785817429905,-0.0260462945415545,0.27364671435165,0.448837057203236
r_site:id[KUM_D229658,Intercept],0.95,0.8,median,-0.504295223129973,-0.332360716851888,-0.0327439577521809,0.235197655159071,0.378156161972224
r_site:id[KUM_D229679,Intercept],0.95,0.8,median,-0.445012807933341,-0.279100176180966,0.010581434309783,0.300513264819285,0.467603903826331
r_site:id[KUM_D229721,Intercept],0.95,0.8,median,-0.364833736871555,-0.203928023421604,0.0691848428732956,0.397865524250375,0.630428156315807
r_site:id[KUM_D229734,Intercept],0.95,0.8,median,-0.362009900207236,-0.190668388518742,0.0684519678416142,0.386274072492134,0.578591976308475
r_site:id[KUM_D229735,Intercept],0.95,0.8,median,-0.816322902444976,-0.565669502734589,-0.177033819231853,0.095794086724209,0.263457394465225
r_site:id[KUM_D229737,Intercept],0.95,0.8,median,-0.291815050462686,-0.117736087848469,0.124990059738498,0.446530984479938,0.619963515856018
r_site:id[KUM_D237206,Intercept],0.95,0.8,median,-0.692391120595037,-0.509088514842039,-0.152430054734397,0.112945691188229,0.259972336033551
r_site:id[KUM_D237235,Intercept],0.95,0.8,median,-0.37141611254379,-0.202568709944022,0.101169374790308,0.478881407152573,0.742305203816654
r_site:id[KUM_D237258,Intercept],0.95,0.8,median,-0.282204789937577,-0.142964682242454,0.0952846027186551,0.373561610601146,0.534646022114212
r_site:id[KUM_D237310,Intercept],0.95,0.8,median,-0.765591893958759,-0.556168880148464,-0.169784160946993,0.119875089511794,0.265139247773973
r_site:id[KUM_D237311,Intercept],0.95,0.8,median,-0.328699751739466,-0.147224643603086,0.11819397993566,0.458860913867821,0.643556807184927
r_site:id[KUM_D237313,Intercept],0.95,0.8,median,-0.359700841207075,-0.200984720636578,0.0461043470238327,0.325400794885342,0.478228655346426
r_site:id[KUM_D237325,Intercept],0.95,0.8,median,-0.762003810680203,-0.517655348292777,-0.142454420400611,0.128179195517356,0.295873717580499
r_site:id[KUM_D237327,Intercept],0.95,0.8,median,-0.539027508372525,-0.345229280411319,-0.0275766289739055,0.267634105518093,0.481182159902632
r_site:id[KUM_D237337,Intercept],0.95,0.8,median,-0.267610414865802,-0.117213658818246,0.149637842663025,0.476210627290556,0.657718834223218
r_site:id[KUM_D237339,Intercept],0.95,0.8,median,-0.402777314750235,-0.234267262581563,0.0330524317213406,0.360596820878082,0.550214286543887
r_site:id[KUM_D237340,Intercept],0.95,0.8,median,-0.3928629565662,-0.214037151262212,0.0556993043968725,0.353217354300981,0.523269519802514
r_site:id[KUM_D237389,Intercept],0.95,0.8,median,-0.454093994593212,-0.2721917756504,0.0367939485693062,0.359088605542785,0.575682994470326
r_site:id[KUM_D243930,Intercept],0.95,0.8,median,-0.406193716651231,-0.255148643986714,0.00466926911684301,0.283006117577159,0.427065264532585
r_site:id[KUM_D243937,Intercept],0.95,0.8,median,-0.495968053050628,-0.323578316292112,-0.0180493283998107,0.251559187890405,0.431679699054265
r_site:id[KUM_D243940,Intercept],0.95,0.8,median,-0.56935709167668,-0.345986910075052,-0.00257119827947724,0.308971936904484,0.520511998683298
r_site:id[KUM_D244017,Intercept],0.95,0.8,median,-0.571041455123948,-0.362346685475774,-0.0538011211630137,0.216185325222612,0.375689244997184
r_site:id[KUM_D244112,Intercept],0.95,0.8,median,-0.379403186055093,-0.198535470535295,0.0922382224823999,0.446158919691349,0.645140292163726
r_site:id[KUM_D244139,Intercept],0.95,0.8,median,-0.543936721538621,-0.341125121090589,0.0013052038295596,0.323571094992589,0.548198244011187
r_site:id[KUM_D244143,Intercept],0.95,0.8,median,-0.366279209907657,-0.181102380088308,0.127853991033986,0.50289225422319,0.765893049209477
r_site:id[KUM_D244144,Intercept],0.95,0.8,median,-0.574928249913293,-0.355413587489863,-0.0153033203530997,0.328743651633314,0.57110397535229
r_site:id[KUM_D244147,Intercept],0.95,0.8,median,-0.464666107307208,-0.284334642928363,0.0084791514028541,0.339151604940996,0.528006522233946
r_site:id[KUM_D244183,Intercept],0.95,0.8,median,-0.4908369401556,-0.277360308644935,0.00264146050422085,0.296925931005139,0.463842757656259
r_site:id[KUM_D244186,Intercept],0.95,0.8,median,-0.396491373093587,-0.238371351709863,0.0131281357142047,0.291515944901325,0.46162605375239
r_site:id[LEH_D211334,Intercept],0.95,0.8,median,-0.508852502983041,-0.34571761524151,-0.0351980333368364,0.224416245244381,0.378174627254696
r_site:id[LEH_D211489,Intercept],0.95,0.8,median,-1.09757119836808,-0.857556693019592,-0.403509890858489,-0.0417420557233312,0.0727394122812903
r_site:id[LEH_D211490,Intercept],0.95,0.8,median,-0.525754680633224,-0.317984136533471,-0.00211584340535059,0.30432652534249,0.478902476876187
r_site:id[LEH_D217891,Intercept],0.95,0.8,median,-0.348844021019181,-0.17600078835224,0.106867025029727,0.478605418452469,0.673343932757313
r_site:id[LEH_D229032,Intercept],0.95,0.8,median,-0.591745831794839,-0.391954151382545,-0.0964765855313503,0.153991240194169,0.316533967295832
r_site:id[LEH_D229051,Intercept],0.95,0.8,median,-0.566064349063483,-0.365611067012236,-0.046104684652762,0.233333212203472,0.391727099075868
r_site:id[LEH_D229054,Intercept],0.95,0.8,median,-0.563453058538517,-0.372478240716729,-0.0486440083448518,0.259653772287645,0.440305423731741
r_site:id[LEH_D229055,Intercept],0.95,0.8,median,-0.345523567611457,-0.161204068166797,0.148621762618109,0.552485277536687,0.836571811145103
r_site:id[LEH_D229056,Intercept],0.95,0.8,median,-0.454330896237202,-0.246875738677559,0.04922999124988,0.404346389366212,0.601032108458429
r_site:id[LEH_D229133,Intercept],0.95,0.8,median,-0.727039424066443,-0.536875711797186,-0.188123877321967,0.0679091202740444,0.223383204051676
r_site:id[LEH_D229518,Intercept],0.95,0.8,median,-0.412926246028208,-0.214605500243253,0.0679832922407898,0.457642227058967,0.673436387523495
r_site:id[LEH_D229560,Intercept],0.95,0.8,median,-0.535626659148571,-0.314078649701114,0.00766791040162365,0.335441274017943,0.531424043591582
r_site:id[LEH_D229630,Intercept],0.95,0.8,median,-0.609073617607843,-0.403341107977238,-0.0581904126346457,0.2342595412796,0.44164266658377
r_site:id[LEH_D229646,Intercept],0.95,0.8,median,-0.254402020921277,-0.110662421197756,0.152474356307375,0.505095562797213,0.71324668003663
r_site:id[LEH_D229648,Intercept],0.95,0.8,median,-0.551485501588641,-0.354508699682235,-0.0254608935228094,0.27185344119277,0.496492015419429
r_site:id[LEH_D229740,Intercept],0.95,0.8,median,-0.692936748253972,-0.450120101313976,-0.0846097812493081,0.177168750325986,0.339222983754436
r_site:id[LEH_D229742,Intercept],0.95,0.8,median,-0.297634697669291,-0.132340746556896,0.114129554618825,0.421932746617868,0.601050307504732
r_site:id[LEH_D229776,Intercept],0.95,0.8,median,-0.855611912201534,-0.668292173276797,-0.273475075882979,0.017204161065455,0.151519538597314
r_site:id[LEH_D237300,Intercept],0.95,0.8,median,-0.403426987460568,-0.23918460513027,0.0769455870890947,0.427953543296172,0.66776759384398
r_site:id[LEH_D237307,Intercept],0.95,0.8,median,-0.804892774699096,-0.567061231748279,-0.181698446803738,0.0891457925428181,0.253461808457238
r_site:id[LEH_D243906,Intercept],0.95,0.8,median,-0.393649757427463,-0.190745545896733,0.108314978096253,0.521713346061539,0.753384900227354
r_site:id[LEH_D243907,Intercept],0.95,0.8,median,-0.450473675168032,-0.264320513073065,0.0416108559853181,0.381761420965379,0.573922005836337
r_site:id[LEH_D243950,Intercept],0.95,0.8,median,-0.280502745806083,-0.119717669763279,0.165429901151891,0.5294654068042,0.716895042670985
r_site:id[LEH_D244001,Intercept],0.95,0.8,median,-0.692223078074759,-0.436699913856352,-0.0785910050048736,0.200061259782474,0.375189219683862
r_site:id[LEH_D244042,Intercept],0.95,0.8,median,-0.500677484460396,-0.292213237465692,0.0296541720313916,0.374359763519207,0.600680302075193
r_site:id[LEH_D244054,Intercept],0.95,0.8,median,-0.395716983865017,-0.222065172117546,0.072595522127262,0.451057195327387,0.691767525273815
r_site:id[LEH_D244055,Intercept],0.95,0.8,median,-0.750583749577911,-0.561838936322348,-0.188331425005037,0.0762797579561888,0.249235295473408
