parameter,outer_width,inner_width,point_est,ll,l,m,h,hh
b_Intercept,0.95,0.8,median,0.28236531512627,0.347036756683045,0.454261278829276,0.571439125929092,0.649059232373559
b_scaletotal_load,0.95,0.8,median,-0.112127199260269,-0.0836908924044159,-0.0250545695701438,0.0323793418427319,0.0646530357925702
b_age_catyearling,0.95,0.8,median,-1.32459538935232,-1.2732014711564,-1.16817875222288,-1.06141818327634,-0.994129526142563
sd_site__Intercept,0.95,0.8,median,0.00299882313694403,0.0111615228695722,0.0610048208787974,0.183551650142795,0.299115281051918
sd_site:id__Intercept,0.95,0.8,median,0.137234609484222,0.212842947115637,0.322118301425848,0.41010578716536,0.453620779317223
sd_year__Intercept,0.95,0.8,median,0.0082643240928007,0.0332306439348249,0.124235227985236,0.249567148743617,0.331613424036104
sigma,0.95,0.8,median,0.697742264630569,0.718305857617442,0.759207679329881,0.809224471702897,0.834101888049445
r_site[KUM,Intercept],0.95,0.8,median,-0.192923408897284,-0.103782161194064,-0.00696452463272197,0.0478999849423201,0.116741709463264
r_site[LEH,Intercept],0.95,0.8,median,-0.207196563379025,-0.114970508674632,-0.00682141351459661,0.0565352153301076,0.131881197864675
r_site[NYR,Intercept],0.95,0.8,median,-0.165443305182083,-0.0816956776117471,-0.00144499994397199,0.0663346313454958,0.135266070409451
r_site[SAA,Intercept],0.95,0.8,median,-0.0844470912247367,-0.037586448029238,0.0162785171869551,0.149427133203993,0.250592277439794
r_site[TEE,Intercept],0.95,0.8,median,-0.151040387862506,-0.0766036638550615,0.00111788978518917,0.0822959608566403,0.166726075478923
r_site:id[KUM_D211341,Intercept],0.95,0.8,median,-0.653659023239367,-0.458350864307063,-0.109267649249037,0.20345922338418,0.358959001875552
r_site:id[KUM_D211374,Intercept],0.95,0.8,median,-0.694546711016731,-0.517582510794672,-0.177497811018057,0.12650096551018,0.270994529922856
r_site:id[KUM_D211376,Intercept],0.95,0.8,median,-0.674445272415908,-0.468661472116731,-0.135880042242348,0.153452438258227,0.318685074562057
r_site:id[KUM_D211385,Intercept],0.95,0.8,median,-0.616819096916001,-0.405678544876857,-0.0724646990220808,0.243618520928452,0.425662468498065
r_site:id[KUM_D211401,Intercept],0.95,0.8,median,-0.501296994283902,-0.277571465859582,0.0735632108276405,0.450134896352134,0.683250019944804
r_site:id[KUM_D211403,Intercept],0.95,0.8,median,-0.354960379772945,-0.166971120057974,0.18985852210888,0.582420755598322,0.840307875507839
r_site:id[KUM_D211435,Intercept],0.95,0.8,median,-0.757502837878607,-0.567015715582002,-0.200636210440086,0.100263571074388,0.264993460362964
r_site:id[KUM_D211438,Intercept],0.95,0.8,median,-0.789164101721306,-0.605811353867072,-0.258176134358789,0.0436981975825619,0.201370464442733
r_site:id[KUM_D211450,Intercept],0.95,0.8,median,-0.551527837005021,-0.355019164225295,-0.00191478319169163,0.344562607952009,0.537719605048097
r_site:id[KUM_D211456,Intercept],0.95,0.8,median,-0.369652756457229,-0.170952764549142,0.161215237540567,0.543758190282821,0.790896081634136
r_site:id[KUM_D211474,Intercept],0.95,0.8,median,-0.364272786629758,-0.202519168735324,0.100918334565342,0.420738119541709,0.608296632181511
r_site:id[KUM_D211478,Intercept],0.95,0.8,median,-0.457650917991918,-0.259407145521933,0.0488094482293253,0.383543687195036,0.570503414662342
r_site:id[KUM_D211482,Intercept],0.95,0.8,median,-0.275368817623011,-0.0950225941949089,0.235954092046979,0.643191653966102,0.87262825336776
r_site:id[KUM_D217818,Intercept],0.95,0.8,median,-0.850887643655464,-0.648475481842709,-0.29002671031626,0.00329203134049985,0.163000032108403
r_site:id[KUM_D217896,Intercept],0.95,0.8,median,-0.480734146128163,-0.330485931194395,-0.0160538074489258,0.291958140834825,0.459523164286586
r_site:id[KUM_D217897,Intercept],0.95,0.8,median,-0.540640077734755,-0.337652891412933,0.000471468054392949,0.347936785171464,0.542860605977531
r_site:id[KUM_D217932,Intercept],0.95,0.8,median,-0.705719320858725,-0.486526782631903,-0.109206284562617,0.227832336397468,0.414301496093339
r_site:id[KUM_D217969,Intercept],0.95,0.8,median,-0.581697157547175,-0.391308721006576,-0.0190183677897836,0.32555551146676,0.494788950387461
r_site:id[KUM_D217977,Intercept],0.95,0.8,median,-0.333433992157975,-0.134753446191304,0.159299378011867,0.49626708273382,0.714716356591204
r_site:id[KUM_D229025,Intercept],0.95,0.8,median,-0.648096165618984,-0.434035963007811,-0.0576970374260399,0.2763705312945,0.489897858551872
r_site:id[KUM_D229043,Intercept],0.95,0.8,median,-0.506794067054817,-0.32976911319517,0.0251167840448719,0.37866032491497,0.550099280304401
r_site:id[KUM_D229126,Intercept],0.95,0.8,median,-0.379456228887651,-0.214928331409222,0.115748516184356,0.45227763587843,0.666225631011661
r_site:id[KUM_D229164,Intercept],0.95,0.8,median,-0.346977643501339,-0.169613858342637,0.150432693695007,0.580871758808506,0.844589044252864
r_site:id[KUM_D229165,Intercept],0.95,0.8,median,-0.964314847111717,-0.766970963836222,-0.359547519708581,-0.0142586468160664,0.130417976380938
r_site:id[KUM_D229167,Intercept],0.95,0.8,median,-0.246981275894761,-0.101657196294162,0.20427804303172,0.530075136363361,0.718611622528037
r_site:id[KUM_D229192,Intercept],0.95,0.8,median,-0.281380281205914,-0.117166452207409,0.202210241825236,0.595828143096264,0.837308818656073
r_site:id[KUM_D229193,Intercept],0.95,0.8,median,-0.583606555466229,-0.40553069105288,-0.0902457493650734,0.210547956979369,0.371710399990139
r_site:id[KUM_D229509,Intercept],0.95,0.8,median,-1.04449682040518,-0.797703400061872,-0.396071271469748,-0.0491789004872466,0.116904311952267
r_site:id[KUM_D229512,Intercept],0.95,0.8,median,-0.687192689650891,-0.467248074575574,-0.0919038442851442,0.24980840589243,0.426012996853762
r_site:id[KUM_D229599,Intercept],0.95,0.8,median,-0.637650033694417,-0.466782213882851,-0.112228394019209,0.187536822084827,0.382813928546334
