parameter,outer_width,inner_width,point_est,ll,l,m,h,hh
b_Intercept,0.95,0.8,median,-0.39288908493327,-0.159252764927725,0.17493051194559,0.512986151744578,0.721136818736999
b_scaletotal_load,0.95,0.8,median,-0.12826315778748,-0.0917110690163616,-0.0279451245407879,0.03822124308281,0.0783033349272023
b_age_catyearling,0.95,0.8,median,-0.850857963295596,-0.792891719492444,-0.671091476585672,-0.553468163312857,-0.489846090698057
sd_site__Intercept,0.95,0.8,median,0.00646483638594072,0.0247633640404108,0.109086784854352,0.280939068150715,0.45662415970081
sd_site:id__Intercept,0.95,0.8,median,0.208538544713849,0.284935919472831,0.373730499968061,0.457090915109377,0.498712754997069
sd_year__Intercept,0.95,0.8,median,0.436720807021963,0.512557042157248,0.739059799106786,1.07944914190535,1.33898385189171
sigma,0.95,0.8,median,0.705036440796991,0.725323377322498,0.770845961019241,0.821962182689171,0.847401421516906
r_site[KUM,Intercept],0.95,0.8,median,-0.160003007829723,-0.0613275358093015,0.0280972412225123,0.15796112023708,0.260372576587614
r_site[LEH,Intercept],0.95,0.8,median,-0.171431325045529,-0.0747546248319991,0.0236561653596409,0.175854081599584,0.294110242296256
r_site[NYR,Intercept],0.95,0.8,median,-0.365378327918836,-0.245243937607582,-0.0792281301660333,0.0124376055307243,0.0702675647296915
r_site[SAA,Intercept],0.95,0.8,median,-0.288229395331674,-0.149303847723154,-0.0104232781383003,0.0964467985067693,0.200707275361239
r_site[TEE,Intercept],0.95,0.8,median,-0.186660766265916,-0.0893430395061938,0.0158279790500567,0.164376400572937,0.28530833800435
r_site:id[KUM_D211341,Intercept],0.95,0.8,median,-0.697381732263922,-0.477064298370252,-0.122736235803167,0.240740077928873,0.44764457957823
r_site:id[KUM_D211374,Intercept],0.95,0.8,median,-0.385336512248812,-0.195045011633787,0.145546159035627,0.537647266981802,0.738294127289996
r_site:id[KUM_D211376,Intercept],0.95,0.8,median,-0.457559601233376,-0.255157494632056,0.122843694661349,0.521416379974824,0.750907681865382
r_site:id[KUM_D211385,Intercept],0.95,0.8,median,-0.862610005864406,-0.654918283310471,-0.270039272407987,0.0891546821752949,0.269638386866841
r_site:id[KUM_D211401,Intercept],0.95,0.8,median,-0.770382546476759,-0.54182588822067,-0.0859671337017468,0.326829502184254,0.553783054435707
r_site:id[KUM_D211403,Intercept],0.95,0.8,median,-0.78277230298997,-0.54713207471505,-0.103970661941179,0.311391580121116,0.568489615084531
r_site:id[KUM_D211435,Intercept],0.95,0.8,median,-0.714777288809439,-0.477372764108267,-0.0729560772130614,0.313688370499555,0.495136414951947
r_site:id[KUM_D211438,Intercept],0.95,0.8,median,-0.839087084427074,-0.630100612272646,-0.283074515493948,0.0681360841955856,0.265757206472087
r_site:id[KUM_D211450,Intercept],0.95,0.8,median,-0.702873363071744,-0.50218880662592,-0.0906993527845074,0.306622096428209,0.507987175482597
r_site:id[KUM_D211456,Intercept],0.95,0.8,median,-0.581058090464343,-0.376323525639504,0.0282772113288704,0.426172721277386,0.668715838065811
r_site:id[KUM_D211474,Intercept],0.95,0.8,median,-0.818902924263918,-0.629636831170441,-0.257123367864448,0.0686775805789535,0.256699614433609
r_site:id[KUM_D211478,Intercept],0.95,0.8,median,-0.372486383777008,-0.169734958630793,0.196369674185516,0.575905111750304,0.805013066335797
r_site:id[KUM_D211482,Intercept],0.95,0.8,median,-0.762830871522279,-0.543730111700179,-0.12345359834171,0.263848841653017,0.443997109554698
r_site:id[KUM_D217818,Intercept],0.95,0.8,median,-0.495897569202005,-0.268753274957371,0.100336579014044,0.487698631700198,0.726729979200691
r_site:id[KUM_D217896,Intercept],0.95,0.8,median,-0.732987402483397,-0.506829158308847,-0.138789009849506,0.183601153779185,0.355615878324758
r_site:id[KUM_D217897,Intercept],0.95,0.8,median,-0.408916453231405,-0.215679104650038,0.125551884780404,0.472218702870779,0.689236176227601
r_site:id[KUM_D217932,Intercept],0.95,0.8,median,-0.317280560789246,-0.112979328438776,0.298088108433377,0.769745073415939,1.05901235799376
r_site:id[KUM_D217969,Intercept],0.95,0.8,median,-0.682595208067074,-0.461811510753279,-0.0631956596092005,0.323405095619563,0.535069326019157
r_site:id[KUM_D217977,Intercept],0.95,0.8,median,-0.99116347896474,-0.759131467099085,-0.375773174247543,-0.00178985331303171,0.185021252031485
r_site:id[KUM_D229025,Intercept],0.95,0.8,median,-0.149284319207196,0.0449244262378704,0.434101853324376,0.831225886214869,1.0567266249117
r_site:id[KUM_D229043,Intercept],0.95,0.8,median,-0.406339925104564,-0.191707730651044,0.202619769124409,0.684455042069916,0.981269419814806
r_site:id[KUM_D229126,Intercept],0.95,0.8,median,-0.513942860601838,-0.303069706993108,0.0670428427349532,0.45848465252695,0.691891035609624
r_site:id[KUM_D229164,Intercept],0.95,0.8,median,-0.687342088535368,-0.472163289504577,-0.0266872907047293,0.392210942860126,0.622205962795895
r_site:id[KUM_D229165,Intercept],0.95,0.8,median,-0.973480480187299,-0.748269222692677,-0.401925382747388,-0.0356189803753232,0.133295591299415
r_site:id[KUM_D229167,Intercept],0.95,0.8,median,-0.386218189761315,-0.213154368145413,0.11249076922002,0.462972402127686,0.655693530833058
r_site:id[KUM_D229192,Intercept],0.95,0.8,median,-0.754660057491213,-0.54347783335287,-0.129908840498737,0.237710926528438,0.463460212602485
r_site:id[KUM_D229193,Intercept],0.95,0.8,median,-0.793677175345197,-0.603006409115106,-0.265733996979159,0.071443566645855,0.229101234364931
r_site:id[KUM_D229509,Intercept],0.95,0.8,median,-0.526110647949634,-0.332035269160648,0.0670464644316316,0.456572635507725,0.672660597117048
r_site:id[KUM_D229512,Intercept],0.95,0.8,median,-0.838889141058018,-0.627660885325181,-0.219987430714652,0.163516546794668,0.388718780613015
r_site:id[KUM_D229599,Intercept],0.95,0.8,median,-0.622612391743251,-0.403966632173164,-0.0149481506027318,0.361098038363932,0.566328456890503
r_site:id[KUM_D229635,Intercept],0.95,0.8,median,-0.838826940691693,-0.538459064983299,-0.129560843803286,0.323051418478505,0.561761420289077
r_site:id[KUM_D229658,Intercept],0.95,0.8,median,-0.721531248681097,-0.535475061420626,-0.17434826293597,0.157346867379011,0.351549254049552
r_site:id[KUM_D229679,Intercept],0.95,0.8,median,-0.216064243405843,-0.0143099858975697,0.349066031827314,0.743639968824531,0.945899008993849
r_site:id[KUM_D229721,Intercept],0.95,0.8,median,-0.558143693664994,-0.362300915399234,0.0311583418760615,0.423216800123033,0.638612544771267
r_site:id[KUM_D229734,Intercept],0.95,0.8,median,-0.777811363903918,-0.547909497675491,-0.154732669030404,0.239559111183957,0.4561729235693
r_site:id[KUM_D229735,Intercept],0.95,0.8,median,-0.481476025924445,-0.27350932107204,0.123010582580914,0.510520999428152,0.744168823529835
r_site:id[KUM_D229737,Intercept],0.95,0.8,median,-0.0726725612101861,0.102097191940702,0.502846629408301,0.922610313324459,1.143628850221
r_site:id[KUM_D237206,Intercept],0.95,0.8,median,-0.825017460954687,-0.610428875194805,-0.189740143073446,0.1829449101378,0.393918880536485
r_site:id[KUM_D237235,Intercept],0.95,0.8,median,-0.31852620480906,-0.0952464541501268,0.328401872323308,0.800491578531109,1.08795367222929
r_site:id[KUM_D237258,Intercept],0.95,0.8,median,-0.492563041914241,-0.322903102169959,-0.0059480644382396,0.312872366905104,0.496272083204093
r_site:id[KUM_D237310,Intercept],0.95,0.8,median,-0.804014828632163,-0.56704839701398,-0.166299102204141,0.221474317093779,0.437324846379393
r_site:id[KUM_D237311,Intercept],0.95,0.8,median,-0.702544882053852,-0.481143433945329,-0.0871185578231425,0.294823570702231,0.511913343614825
r_site:id[KUM_D237313,Intercept],0.95,0.8,median,-0.380869214356859,-0.19185605520294,0.149180903117868,0.483715947957005,0.662092167550307
r_site:id[KUM_D237325,Intercept],0.95,0.8,median,-0.299191821049481,-0.0936348015901606,0.323009877221699,0.749753863421415,0.969209964825597
r_site:id[KUM_D237327,Intercept],0.95,0.8,median,-0.47678437043886,-0.242337094104223,0.131341868861618,0.546982903307728,0.752612291299424
r_site:id[KUM_D237337,Intercept],0.95,0.8,median,-0.61545467873506,-0.411357603188859,-0.0421970165772432,0.321494079597948,0.506048327447714
r_site:id[KUM_D237339,Intercept],0.95,0.8,median,-0.2916980532262,-0.108084409717232,0.261241765842718,0.637957342234888,0.857533691325288
r_site:id[KUM_D237340,Intercept],0.95,0.8,median,-0.189794261410389,0.00210106884278472,0.333708077781828,0.718864534689653,0.895799856372887
r_site:id[KUM_D237389,Intercept],0.95,0.8,median,-0.438106669963219,-0.211706720602707,0.190108050027014,0.651783413926659,0.873940090663894
r_site:id[KUM_D243930,Intercept],0.95,0.8,median,-0.420855069318388,-0.242220995807837,0.0972628940503952,0.452010606583556,0.644212606066911
r_site:id[KUM_D243937,Intercept],0.95,0.8,median,-1.02878148866227,-0.779749940627299,-0.352324530714908,0.0613975150763188,0.248860044918801
r_site:id[KUM_D243940,Intercept],0.95,0.8,median,-0.639398189999575,-0.419279477353613,-0.000113556680687108,0.413112015080174,0.624786272545405
r_site:id[KUM_D244017,Intercept],0.95,0.8,median,-0.454030474565991,-0.218276277886969,0.173051367278694,0.636120501583406,0.883819760035829
r_site:id[KUM_D244112,Intercept],0.95,0.8,median,-0.445360093983115,-0.242434369438168,0.139634098426255,0.528341083240738,0.756727813661752
r_site:id[KUM_D244139,Intercept],0.95,0.8,median,-0.282911762073217,-0.060226175900127,0.382638800647517,0.873643902170068,1.15268047410021
r_site:id[KUM_D244143,Intercept],0.95,0.8,median,-0.74541887061012,-0.469671038272504,-0.0584519774994505,0.330485625627223,0.584878026455138
r_site:id[KUM_D244144,Intercept],0.95,0.8,median,-0.566023080873445,-0.303497709467102,0.115299386299419,0.528892085410998,0.791166968884
r_site:id[KUM_D244147,Intercept],0.95,0.8,median,-0.807999622039363,-0.604441363993178,-0.145674498764718,0.239135442243407,0.421254929166418
r_site:id[KUM_D244183,Intercept],0.95,0.8,median,-0.680537573627559,-0.470374342201213,-0.105014656598725,0.262821667328938,0.438837399803993
r_site:id[KUM_D244186,Intercept],0.95,0.8,median,-0.650925234886796,-0.488932092906804,-0.124707691365416,0.219783954170286,0.390592644585834
r_site:id[LEH_D211334,Intercept],0.95,0.8,median,-0.27637004177412,-0.0925168012757355,0.259657148749849,0.670508524425627,0.871147238136516
r_site:id[LEH_D211489,Intercept],0.95,0.8,median,-0.598023127227748,-0.392700253993094,-0.0272140661649768,0.330219320387009,0.531822443765392
r_site:id[LEH_D211490,Intercept],0.95,0.8,median,-0.720461770529273,-0.47419021089863,-0.0815371821524795,0.305936264346937,0.53527115427159
r_site:id[LEH_D217891,Intercept],0.95,0.8,median,-0.403620205307423,-0.180937345741866,0.218787832627931,0.620552980123128,0.83465489668467
r_site:id[LEH_D229032,Intercept],0.95,0.8,median,-0.882132339690693,-0.669757845788294,-0.289801088821364,0.0503739459003629,0.21381538897359
r_site:id[LEH_D229051,Intercept],0.95,0.8,median,-0.172193171082499,-0.025532339614842,0.310245742877832,0.675876129571078,0.85637520016864
r_site:id[LEH_D229054,Intercept],0.95,0.8,median,-0.949702313990164,-0.70036744027744,-0.285411320249047,0.124476771001143,0.337312244559646
r_site:id[LEH_D229055,Intercept],0.95,0.8,median,-0.42951823870715,-0.202286433111575,0.20512436907172,0.678120614594388,0.937611833448695
r_site:id[LEH_D229056,Intercept],0.95,0.8,median,-0.41112502863971,-0.170749747385964,0.236755978854883,0.718363592797166,0.952336037056382
r_site:id[LEH_D229133,Intercept],0.95,0.8,median,-0.520979343228191,-0.323493171043587,0.00706834012364645,0.337405828745967,0.526214536313505
r_site:id[LEH_D229518,Intercept],0.95,0.8,median,-0.792468696003921,-0.567814525131797,-0.127888328008253,0.280451617724829,0.51088503381744
r_site:id[LEH_D229560,Intercept],0.95,0.8,median,-0.832207876411122,-0.561113205794619,-0.119128252216234,0.297562965087245,0.529849326739564
r_site:id[LEH_D229630,Intercept],0.95,0.8,median,-0.821848317914551,-0.575249728156534,-0.125873975128561,0.30023367887611,0.531590831682598
r_site:id[LEH_D229646,Intercept],0.95,0.8,median,-0.450978780722477,-0.257695749096228,0.100039474494811,0.487977416362954,0.705749041567806
r_site:id[LEH_D229648,Intercept],0.95,0.8,median,-0.454273636665718,-0.246042504269405,0.15893708572981,0.604209178444433,0.848100733197634
r_site:id[LEH_D229740,Intercept],0.95,0.8,median,-0.741475453901882,-0.510640200674976,-0.122987162440728,0.252124119201871,0.414770742937002
r_site:id[LEH_D229742,Intercept],0.95,0.8,median,-0.42315919341478,-0.203404800211557,0.206371486497765,0.67869064966099,0.920735624366289
r_site:id[LEH_D229776,Intercept],0.95,0.8,median,-0.433115433965477,-0.230089597935368,0.128515402497207,0.545811989270772,0.714578378076194
r_site:id[LEH_D237300,Intercept],0.95,0.8,median,-0.372050829234239,-0.145804547175223,0.266580335749861,0.691483299609183,0.967114539733003
r_site:id[LEH_D237307,Intercept],0.95,0.8,median,-0.736902368965249,-0.49871722732789,-0.109008982580171,0.272415644451993,0.501198979501621
r_site:id[LEH_D243907,Intercept],0.95,0.8,median,-0.812054499782138,-0.550261862051316,-0.110561024468202,0.316471889980379,0.510886795219312
r_site:id[LEH_D243950,Intercept],0.95,0.8,median,-0.763995543806736,-0.537532174805007,-0.126608031019627,0.268299130297022,0.480534131878196
r_site:id[LEH_D244001,Intercept],0.95,0.8,median,-0.318634686229206,-0.108894046054361,0.288938613931127,0.691912835242563,0.918453771321986
r_site:id[LEH_D244042,Intercept],0.95,0.8,median,-0.727572824520653,-0.486717436864654,-0.0563381302394239,0.352751679273667,0.59807174167583
r_site:id[LEH_D244054,Intercept],0.95,0.8,median,-0.570474369736444,-0.35036991989139,0.0839162668389865,0.535383252496695,0.788095788161518
r_site:id[LEH_D244055,Intercept],0.95,0.8,median,-0.958076503611987,-0.711018216270255,-0.278775838894917,0.125116154087928,0.33564353861196
r_site:id[LEH_D244083,Intercept],0.95,0.8,median,-0.883452834698419,-0.616506054920848,-0.196410597431542,0.16957496391622,0.331703951466087
r_site:id[LEH_D244090,Intercept],0.95,0.8,median,-0.573618315679665,-0.366783624500814,0.050977034211314,0.490043857962712,0.772762584833578
r_site:id[NYR_D154280,Intercept],0.95,0.8,median,-0.759017715854073,-0.492531692001885,-0.0553985105796988,0.37344094178251,0.626494641818285
r_site:id[NYR_D154288,Intercept],0.95,0.8,median,-0.675551626537616,-0.488034461995234,-0.076052120862243,0.281397132155298,0.513294579344079
