parameter,outer_width,inner_width,point_est,ll,l,m,h,hh
b_Intercept,0.95,0.8,median,-0.362064164739924,-0.148116560616512,0.169047220827879,0.517743349376025,0.749772467768295
b_scaletotal_load,0.95,0.8,median,-0.16622668638448,-0.12996174142674,-0.0660567594741518,0.000979680985592516,0.0360136261631502
b_age_catyearling,0.95,0.8,median,-0.843800155346568,-0.787073600985596,-0.669650097293701,-0.551926904766648,-0.486652560204426
sd_site__Intercept,0.95,0.8,median,0.00645839499522931,0.0275727233771645,0.11450593188569,0.284185292882174,0.461166777816237
sd_site:id__Intercept,0.95,0.8,median,0.221123917850539,0.278603848094087,0.370481150184788,0.453931640365652,0.497222370317395
sd_year__Intercept,0.95,0.8,median,0.448403177488423,0.532898972044075,0.73949108652183,1.08994291878048,1.34132240087047
sigma,0.95,0.8,median,0.704284736603756,0.725760323825483,0.771103954207574,0.821010486180864,0.846280518184356
r_site[KUM,Intercept],0.95,0.8,median,-0.148630971949918,-0.0569850244590167,0.0300417407158069,0.167935342154922,0.278622855117586
r_site[LEH,Intercept],0.95,0.8,median,-0.177157989745496,-0.0767775550368204,0.0234971723943219,0.17693789982112,0.313665873062624
r_site[NYR,Intercept],0.95,0.8,median,-0.372789291422374,-0.246591296796531,-0.0780394212301087,0.0128569336179841,0.0885868124634805
r_site[SAA,Intercept],0.95,0.8,median,-0.268310734507493,-0.146921601819938,-0.00715352145400901,0.0988699987965762,0.185067827845444
r_site[TEE,Intercept],0.95,0.8,median,-0.199467764926267,-0.0845512856003886,0.0148726497365958,0.163096921309494,0.263758037271378
r_site:id[KUM_D211341,Intercept],0.95,0.8,median,-0.673145257967708,-0.466286677533289,-0.120281049259674,0.249805978380602,0.43909811608241
r_site:id[KUM_D211374,Intercept],0.95,0.8,median,-0.444120027833968,-0.238824873301835,0.125299902863754,0.503688095758355,0.691034912784839
r_site:id[KUM_D211376,Intercept],0.95,0.8,median,-0.417348740546489,-0.23610730258831,0.1476645965181,0.53904299337277,0.736072811807082
r_site:id[KUM_D211385,Intercept],0.95,0.8,median,-0.854390882279263,-0.67249458853826,-0.318659522258056,0.0170263005580753,0.197150566388719
r_site:id[KUM_D211401,Intercept],0.95,0.8,median,-0.763174247437325,-0.508390159810116,-0.0816608012556108,0.332494238779709,0.537383318503513
r_site:id[KUM_D211403,Intercept],0.95,0.8,median,-0.78176671668812,-0.533231615464672,-0.0979695311080897,0.324004487623321,0.54729017105897
r_site:id[KUM_D211435,Intercept],0.95,0.8,median,-0.682938449147536,-0.459770928196716,-0.0616556320516935,0.342609950447725,0.545632343595475
r_site:id[KUM_D211438,Intercept],0.95,0.8,median,-0.832223717914507,-0.650545339573384,-0.276333212428352,0.0568291584779876,0.23702034403839
r_site:id[KUM_D211450,Intercept],0.95,0.8,median,-0.716800933721896,-0.473321101975208,-0.0856855309057416,0.289177266848388,0.521599428160657
r_site:id[KUM_D211456,Intercept],0.95,0.8,median,-0.590378333961952,-0.372004242340571,0.0195110628900147,0.425003326178,0.623006995387783
r_site:id[KUM_D211474,Intercept],0.95,0.8,median,-0.770717576433987,-0.576470259852198,-0.206090349354509,0.135543851395251,0.31209599860281
r_site:id[KUM_D211478,Intercept],0.95,0.8,median,-0.33752828962966,-0.148454979792751,0.19474866132986,0.600061176374729,0.8237903928615
r_site:id[KUM_D211482,Intercept],0.95,0.8,median,-0.755183596308133,-0.556334242362171,-0.114764039579764,0.260803601686998,0.479901376026218
r_site:id[KUM_D217818,Intercept],0.95,0.8,median,-0.532913430257645,-0.308377456035692,0.0883674111698723,0.493588535356212,0.688207224932608
r_site:id[KUM_D217896,Intercept],0.95,0.8,median,-0.644768903817052,-0.460619358083558,-0.120934131391098,0.220300713247046,0.370693306624462
r_site:id[KUM_D217897,Intercept],0.95,0.8,median,-0.45564836674382,-0.236449938053759,0.100367783482383,0.480936738933528,0.703131904156545
r_site:id[KUM_D217932,Intercept],0.95,0.8,median,-0.363550768610724,-0.143203645925115,0.294066948306901,0.776236583583874,1.04956341459854
r_site:id[KUM_D217969,Intercept],0.95,0.8,median,-0.691276681240743,-0.454990743960238,-0.042683865203018,0.338466139462204,0.525386361772048
r_site:id[KUM_D217977,Intercept],0.95,0.8,median,-1.04304803619712,-0.817234298494996,-0.407100453593781,-0.0267388667982946,0.16669889890622
r_site:id[KUM_D229025,Intercept],0.95,0.8,median,-0.144831072301673,0.0267450070404232,0.406907911492539,0.796327083772318,1.00079116279819
r_site:id[KUM_D229043,Intercept],0.95,0.8,median,-0.420374429916815,-0.208158820305362,0.194076456587973,0.653578866493123,0.920553173120906
r_site:id[KUM_D229126,Intercept],0.95,0.8,median,-0.556186016407026,-0.32487322697342,0.0756709311693708,0.459440658732812,0.664470683621772
r_site:id[KUM_D229164,Intercept],0.95,0.8,median,-0.726457917716455,-0.484112513879032,-0.0604023640633497,0.355050595624865,0.558409984972454
r_site:id[KUM_D229165,Intercept],0.95,0.8,median,-0.974648902520735,-0.738470268829325,-0.388537433991821,-0.0435274731561525,0.111198517864371
r_site:id[KUM_D229167,Intercept],0.95,0.8,median,-0.353026550093957,-0.192431251328861,0.144398379223055,0.491596494941297,0.664849822276046
r_site:id[KUM_D229192,Intercept],0.95,0.8,median,-0.766279451159569,-0.506512909340866,-0.112930853679216,0.277270145006224,0.487053031850479
r_site:id[KUM_D229193,Intercept],0.95,0.8,median,-0.925761801225974,-0.71032872858769,-0.34637725886463,-0.0151758248796184,0.187396074641934
r_site:id[KUM_D229509,Intercept],0.95,0.8,median,-0.536526405993009,-0.340064272057249,0.0617808366512484,0.464596433643542,0.66266917861068
r_site:id[KUM_D229512,Intercept],0.95,0.8,median,-0.830044141435483,-0.61323742404241,-0.210689968258812,0.170900457864516,0.368414875290422
r_site:id[KUM_D229599,Intercept],0.95,0.8,median,-0.589142146852455,-0.370064038632632,0.0126600306173248,0.389187038207332,0.577058129385461
r_site:id[KUM_D229635,Intercept],0.95,0.8,median,-0.802327843187046,-0.535292697308697,-0.122062284172272,0.298899811913598,0.538946575999143
