parameter,outer_width,inner_width,point_est,ll,l,m,h,hh
b_Intercept,0.95,0.8,median,-0.600166314551093,-0.408093941490101,-0.177065802196713,0.0412901645422123,0.182376751311418
b_scaletotal_load,0.95,0.8,median,-0.0851471757441626,-0.0422720891627038,0.0360714146098386,0.117041864227186,0.163202057233855
b_age_catyearling,0.95,0.8,median,0.401208270869104,0.481427721123255,0.614659917825012,0.763535873892463,0.837958104930577
sd_site__Intercept,0.95,0.8,median,0.0198370721113839,0.0711607666375669,0.22735070556818,0.543572014855991,0.903684191826723
sd_site:id__Intercept,0.95,0.8,median,0.415276697619551,0.475291741533681,0.58649033131239,0.688342902990875,0.742579986782497
sd_year__Intercept,0.95,0.8,median,0.124100081301229,0.159089490229476,0.245991716657724,0.380478261743674,0.477224341220801
sigma,0.95,0.8,median,0.675075775634366,0.69737974489132,0.754515198237874,0.814309711121943,0.847769250619211
r_site[KUM,Intercept],0.95,0.8,median,-0.172662675777811,-0.0566892167076991,0.102079789537336,0.335434404959471,0.533838206779657
r_site[LEH,Intercept],0.95,0.8,median,-0.437269379069455,-0.256597750386094,-0.0271459905132456,0.158751775393041,0.326505326798097
r_site[NYR,Intercept],0.95,0.8,median,-0.225044424013514,-0.0755486957447003,0.0929449256682659,0.327470275993758,0.539878842892064
r_site[SAA,Intercept],0.95,0.8,median,-0.311049939565756,-0.143896074760757,0.0435702679057331,0.28242028715442,0.488889667125711
r_site[TEE,Intercept],0.95,0.8,median,-0.776542986383447,-0.521656855246943,-0.205986135859062,-0.000607621760092284,0.0991271731368596
r_site:id[KUM_D211341,Intercept],0.95,0.8,median,-0.612650252247102,-0.368004019118638,0.17113642983609,0.668711168601264,0.944346828392766
r_site:id[KUM_D211374,Intercept],0.95,0.8,median,-0.929091218786418,-0.663935090626839,-0.140231488820144,0.366948585023094,0.625447964301092
r_site:id[KUM_D211376,Intercept],0.95,0.8,median,-0.167267887026839,0.0605475398924108,0.466145125137736,0.887146841912843,1.10987816947843
r_site:id[KUM_D211385,Intercept],0.95,0.8,median,-0.780180387552388,-0.507121618786099,-0.0486640860804952,0.416837380094253,0.664073699455161
r_site:id[KUM_D211401,Intercept],0.95,0.8,median,-1.10558720840919,-0.775317414015123,-0.194274449126954,0.408646162059351,0.731020843826016
r_site:id[KUM_D211403,Intercept],0.95,0.8,median,-1.09368453083865,-0.753067761433691,-0.166833080699135,0.43602594286943,0.803837676093812
r_site:id[KUM_D211435,Intercept],0.95,0.8,median,-0.17678008091069,0.0815008923820452,0.586624812469928,1.12954114868082,1.41223697192945
r_site:id[KUM_D211438,Intercept],0.95,0.8,median,-0.501708187932753,-0.206407982672931,0.275575886530168,0.784069718656024,1.08311139362191
r_site:id[KUM_D211450,Intercept],0.95,0.8,median,-0.661462626083114,-0.372589425902462,0.137002192797169,0.65023126774751,0.909217023378992
r_site:id[KUM_D211456,Intercept],0.95,0.8,median,-0.81803657390137,-0.548324546207772,-0.0121491270270887,0.522944494797117,0.823644258804032
