parameter,outer_width,inner_width,point_est,ll,l,m,h,hh
b_Intercept,0.95,0.8,median,-0.557834130966779,-0.393196000835368,-0.173390218202635,0.0400362051077883,0.212799569387495
b_scaletotal_load,0.95,0.8,median,-0.136786295930115,-0.0929583279194804,-0.011713698436164,0.0659558642151283,0.109694478164218
b_age_catyearling,0.95,0.8,median,0.404689739972686,0.479587449386175,0.619305634718044,0.760472759251026,0.837405125843873
sd_site__Intercept,0.95,0.8,median,0.0184403262347888,0.0722587714710193,0.231104381339784,0.519719685752766,0.875080549918839
sd_site:id__Intercept,0.95,0.8,median,0.413288312054129,0.480566323661149,0.587201257306784,0.688618667569694,0.744266113695863
sd_year__Intercept,0.95,0.8,median,0.125475906649462,0.159560440577588,0.24550817234128,0.377992973351485,0.493825890546902
sigma,0.95,0.8,median,0.671864246452551,0.697145804127117,0.753460030419937,0.81384775391991,0.849240233221224
r_site[KUM,Intercept],0.95,0.8,median,-0.242739350348944,-0.0566792044352482,0.105162295949571,0.329322794886797,0.50023007188161
r_site[LEH,Intercept],0.95,0.8,median,-0.490433226219318,-0.283232108838807,-0.0384603598740517,0.143223802321253,0.296593761415083
r_site[NYR,Intercept],0.95,0.8,median,-0.268614223338214,-0.0821404667758888,0.0843310102344241,0.31713699035961,0.472710171805543
r_site[SAA,Intercept],0.95,0.8,median,-0.3299640782456,-0.166917879600738,0.0381571303481377,0.264618012613951,0.442932148010238
r_site[TEE,Intercept],0.95,0.8,median,-0.783672423887862,-0.528202163366305,-0.208641412010081,0.000163764076355113,0.0763358393692323
r_site:id[KUM_D211341,Intercept],0.95,0.8,median,-0.618992532497524,-0.330594259000384,0.210369077399317,0.734674092122286,0.980393771341385
r_site:id[KUM_D211374,Intercept],0.95,0.8,median,-0.924068719302846,-0.650351288394318,-0.142217788480473,0.367395868732891,0.640660158945987
r_site:id[KUM_D211376,Intercept],0.95,0.8,median,-0.184173279130766,0.0640701169035656,0.48401187501287,0.88232334310421,1.11539806806261
r_site:id[KUM_D211385,Intercept],0.95,0.8,median,-0.744416597031843,-0.473717357659502,0.0044899290950877,0.4690056290718,0.692364672202203
r_site:id[KUM_D211401,Intercept],0.95,0.8,median,-1.12238561901119,-0.772430271646797,-0.174364696557804,0.410565619208863,0.74771516849342
r_site:id[KUM_D211403,Intercept],0.95,0.8,median,-1.10129736770631,-0.787759338450036,-0.178567228573072,0.424363825984006,0.74530586143831
r_site:id[KUM_D211435,Intercept],0.95,0.8,median,-0.142577301749062,0.083594354516741,0.611477147783846,1.12419934896546,1.41537092798539
r_site:id[KUM_D211438,Intercept],0.95,0.8,median,-0.488114722127636,-0.223096678570679,0.284708321645568,0.793260614140133,1.07662320942104
r_site:id[KUM_D211450,Intercept],0.95,0.8,median,-0.624757107470085,-0.380706585163528,0.151364037159157,0.687297001924256,0.965276747997168
r_site:id[KUM_D211456,Intercept],0.95,0.8,median,-0.862135918412783,-0.622261793108516,-0.106269476050171,0.387687136574664,0.649178311317558
r_site:id[KUM_D211474,Intercept],0.95,0.8,median,-0.827582503315079,-0.596363830903544,-0.166894483516813,0.252535517556955,0.467105338197999
r_site:id[KUM_D211478,Intercept],0.95,0.8,median,-0.756949272743532,-0.517616092383078,-0.0513614718878584,0.393191475208172,0.638671789513059
r_site:id[KUM_D211482,Intercept],0.95,0.8,median,-1.28904836329345,-1.02437930841952,-0.488400189596498,0.0347800875055888,0.295829856071694
r_site:id[KUM_D217818,Intercept],0.95,0.8,median,-0.700667165875992,-0.420025019556195,0.0884282619953377,0.608129753338664,0.852101987194282
r_site:id[KUM_D217896,Intercept],0.95,0.8,median,-1.05008273606251,-0.860501522433111,-0.471597179585511,-0.0817580019629129,0.147060358533621
r_site:id[KUM_D217897,Intercept],0.95,0.8,median,0.105387344932086,0.364818215312895,0.896620658039347,1.44053075597284,1.7440899091436
r_site:id[KUM_D217932,Intercept],0.95,0.8,median,-1.20387381870687,-0.835289724912165,-0.266953447727097,0.331346518674029,0.644321288918151
r_site:id[KUM_D217969,Intercept],0.95,0.8,median,-0.288248778015432,-0.04984659327232,0.467144563569353,0.986300432009679,1.27642692397652
r_site:id[KUM_D217977,Intercept],0.95,0.8,median,-1.11848100466168,-0.89142968512185,-0.411986192882734,0.0176255222776373,0.266152917246116
r_site:id[KUM_D229025,Intercept],0.95,0.8,median,-0.9054715774725,-0.592788475094226,0.0170619656341912,0.581097351655143,0.871347583537251
r_site:id[KUM_D229043,Intercept],0.95,0.8,median,-1.38235417998355,-1.12800796411391,-0.587642779365849,-0.0522070595455542,0.20581703395151
r_site:id[KUM_D229126,Intercept],0.95,0.8,median,-0.463642292897075,-0.247353006250078,0.229885604057909,0.67271893070251,0.926616728873743
r_site:id[KUM_D229164,Intercept],0.95,0.8,median,-1.05364947058009,-0.742212991696453,-0.154606452731426,0.430749681716457,0.741210742147356
r_site:id[KUM_D229165,Intercept],0.95,0.8,median,-1.07364631388546,-0.826814373184693,-0.319189045032622,0.204327564135069,0.474067445297612
r_site:id[KUM_D229167,Intercept],0.95,0.8,median,-0.749277048984417,-0.512254794623962,-0.085901983688511,0.316329169563959,0.533796911779533
