parameter,outer_width,inner_width,point_est,ll,l,m,h,hh
b_Intercept,0.95,0.8,median,0.258548363554742,0.36026758746961,0.533779955632554,0.725331097622055,0.841810606568809
b_scaletotal_load,0.95,0.8,median,-0.0992815273755994,-0.0669509682416838,-0.0118420284916761,0.0446622817514377,0.0704101195874181
b_age_catyearling,0.95,0.8,median,-1.45876953462648,-1.40550877162115,-1.30552491660765,-1.20669729693354,-1.15252220559692
sd_site__Intercept,0.95,0.8,median,0.00303159646752238,0.0112055800934843,0.0760026475792569,0.224666676815328,0.373826961800738
sd_site:id__Intercept,0.95,0.8,median,0.186190916469025,0.242134930838801,0.324818055691285,0.39613923820744,0.430467656476908
sd_year__Intercept,0.95,0.8,median,0.199191158045639,0.2422007996539,0.350954373383835,0.524619969973686,0.662631143683263
sigma,0.95,0.8,median,0.605377596734448,0.623894619313479,0.662971771950162,0.705862882473201,0.729680377975495
r_site[KUM,Intercept],0.95,0.8,median,-0.159654444660668,-0.0764208846734055,0.00341999484972337,0.0894035125293342,0.17663532340438
r_site[LEH,Intercept],0.95,0.8,median,-0.260960655770696,-0.138229209545208,-0.0112450604803825,0.0622305483734068,0.138093243350798
r_site[NYR,Intercept],0.95,0.8,median,-0.242330207292804,-0.132633285822231,-0.01315061087302,0.0540772040072825,0.12415729638353
r_site[SAA,Intercept],0.95,0.8,median,-0.240343355244469,-0.129159563344602,-0.00870206151777822,0.0666253442881971,0.145549365624711
r_site[TEE,Intercept],0.95,0.8,median,-0.073487439671289,-0.022412187016304,0.0372325613873939,0.208335571453877,0.328883431300887
r_site:id[KUM_D211341,Intercept],0.95,0.8,median,-0.957292818490988,-0.762063765634522,-0.358367750274927,-0.00573395571306194,0.178566377348838
r_site:id[KUM_D211374,Intercept],0.95,0.8,median,-0.692157920243507,-0.504284554235272,-0.143652383319339,0.189936770715587,0.359278380979336
r_site:id[KUM_D211376,Intercept],0.95,0.8,median,-0.565420315952169,-0.392972688622811,-0.0430048962412633,0.292160666675585,0.493095259102706
r_site:id[KUM_D211385,Intercept],0.95,0.8,median,-0.515256980816111,-0.358482880231072,-0.0509409773022666,0.241423954588955,0.453062715990768
r_site:id[KUM_D211401,Intercept],0.95,0.8,median,-0.579868609406732,-0.369064109323142,0.00272957599170695,0.354863498237847,0.547985241659827
