parameter,outer_width,inner_width,point_est,ll,l,m,h,hh
b_Intercept,0.95,0.8,median,-0.271651578508272,-0.106996263001449,0.109751093214913,0.307670922286808,0.483219831871711
b_scaletotal_load,0.95,0.8,median,-0.0914543312346368,-0.0562845538604485,0.0139592038453565,0.0807237843137305,0.11679950579835
b_age_catyearling,0.95,0.8,median,-0.833275650664439,-0.749985743839252,-0.594877435489058,-0.444335105059832,-0.367675821348639
sd_site__Intercept,0.95,0.8,median,0.08096450142579,0.123427528069292,0.250060146525119,0.519263162984278,0.863835118876395
sd_site:id__Intercept,0.95,0.8,median,0.0165464083330971,0.0609338910590755,0.238913730731816,0.381917433400071,0.444937070103318
sd_year__Intercept,0.95,0.8,median,0.0318892562237999,0.0781355486967733,0.181189347589849,0.319261457173089,0.414152447053097
sigma,0.95,0.8,median,0.825930370096404,0.857063978126819,0.914464465454568,0.967758497526164,0.999382304880511
r_site[KUM,Intercept],0.95,0.8,median,-0.129750972826688,0.00330372512757296,0.184333276748527,0.405293832448249,0.566139737556871
r_site[LEH,Intercept],0.95,0.8,median,-0.219005824814759,-0.0742640045065596,0.122209523337638,0.365758912477585,0.56818282958712
r_site[NYR,Intercept],0.95,0.8,median,-0.615694699951509,-0.446741971069579,-0.220066201784004,-0.0334146812597138,0.0910756035445641
r_site[SAA,Intercept],0.95,0.8,median,-0.417150451379399,-0.23533586171591,-0.0237353122927309,0.199314808104453,0.35566995266102
r_site[TEE,Intercept],0.95,0.8,median,-0.437083684972483,-0.282654052503178,-0.044350833733868,0.159270099306986,0.34042657646271
r_site:id[KUM_D211341,Intercept],0.95,0.8,median,-0.391251022172023,-0.194072604349675,0.0374009338706675,0.375696664540421,0.618610022189824
r_site:id[KUM_D211374,Intercept],0.95,0.8,median,-0.450625392372904,-0.23760252421396,0.0145956340414422,0.337967723674073,0.548849288345758
r_site:id[KUM_D211376,Intercept],0.95,0.8,median,-0.416528394915911,-0.247066489553282,0.00366662621117791,0.277298327925672,0.475560609198128
r_site:id[KUM_D211385,Intercept],0.95,0.8,median,-0.456331065712559,-0.28179778806615,-0.00358138988007548,0.248922990466108,0.455218383953858
r_site:id[KUM_D211401,Intercept],0.95,0.8,median,-0.65863286808172,-0.399788805318355,-0.0410148930635913,0.209332497410996,0.422793685448672
r_site:id[KUM_D211403,Intercept],0.95,0.8,median,-0.362640075767385,-0.18345014684089,0.0439644111888717,0.437682545583733,0.675470905461134
r_site:id[KUM_D211435,Intercept],0.95,0.8,median,-0.986449675159049,-0.698434496618208,-0.213700189298737,0.0363892634427346,0.157920360028952
r_site:id[KUM_D211438,Intercept],0.95,0.8,median,-0.693625246197885,-0.466086576894047,-0.0854479007426791,0.125216134760431,0.304453416825452
r_site:id[KUM_D211450,Intercept],0.95,0.8,median,-0.445740231206438,-0.252462147994593,0.00995743668975791,0.323164292297294,0.563027690935531
r_site:id[KUM_D211456,Intercept],0.95,0.8,median,-0.70573720269696,-0.442594811965636,-0.0765501710966094,0.148995932782882,0.308217708307535
r_site:id[KUM_D211474,Intercept],0.95,0.8,median,-0.262948499834517,-0.110623661039732,0.0918162778294874,0.424317800396936,0.657945470742107
r_site:id[KUM_D211478,Intercept],0.95,0.8,median,-0.418354348187583,-0.229192737365981,0.00510044881501141,0.300765461290162,0.475396225649652
r_site:id[KUM_D211482,Intercept],0.95,0.8,median,-0.315286953689428,-0.137862987638518,0.0723933114725176,0.46045539170209,0.710703087376184
r_site:id[KUM_D217818,Intercept],0.95,0.8,median,-0.282293653914201,-0.114752075807026,0.108862088225889,0.53026849098525,0.777379629159455
r_site:id[KUM_D217896,Intercept],0.95,0.8,median,-0.329549716724294,-0.165493467049223,0.0534530168824968,0.376041023681524,0.594031748294364
r_site:id[KUM_D217897,Intercept],0.95,0.8,median,-0.447510498486617,-0.244422067145741,0.0129760150893589,0.299106837065915,0.516743663145197
r_site:id[KUM_D217932,Intercept],0.95,0.8,median,-0.514297558091712,-0.287848042081965,0.00134572774910845,0.323170241112196,0.550454937814088
r_site:id[KUM_D217969,Intercept],0.95,0.8,median,-0.684624244099545,-0.433718924580606,-0.060199749522962,0.171068829260351,0.341519882671946
r_site:id[KUM_D217977,Intercept],0.95,0.8,median,-0.341775356661892,-0.157263184171532,0.0798623178997853,0.461695063596231,0.722768494423481
r_site:id[KUM_D229025,Intercept],0.95,0.8,median,-0.615028326498884,-0.367001971293116,-0.0353110686366011,0.217177941222301,0.403002942711736
r_site:id[KUM_D229043,Intercept],0.95,0.8,median,-0.18420349914533,-0.077309595321478,0.150172392547986,0.615507075027713,0.873023875203546
r_site:id[KUM_D229126,Intercept],0.95,0.8,median,-0.219014193066626,-0.0622581128542595,0.139254792358291,0.52489774573941,0.779378450291627
r_site:id[KUM_D229164,Intercept],0.95,0.8,median,-0.41797095790066,-0.226154758707269,0.0276713064033466,0.403543350933667,0.655837294391411
r_site:id[KUM_D229165,Intercept],0.95,0.8,median,-0.470040108712165,-0.269410930536934,0.00488715841258948,0.294722125222101,0.51324793003355
r_site:id[KUM_D229167,Intercept],0.95,0.8,median,-0.179472435370848,-0.0555335126022405,0.16951585248377,0.580883538201039,0.831035292046599
r_site:id[KUM_D229192,Intercept],0.95,0.8,median,-0.360767827610312,-0.187399781786688,0.041116516702378,0.383229286071041,0.648808970588281
r_site:id[KUM_D229193,Intercept],0.95,0.8,median,-0.601496061982954,-0.390559651648095,-0.0622478019438101,0.130871432193116,0.279578100426834
r_site:id[KUM_D229509,Intercept],0.95,0.8,median,-0.623098529768908,-0.41350147577554,-0.0572167915436821,0.165479175756953,0.335621901987651
r_site:id[KUM_D229512,Intercept],0.95,0.8,median,-0.377499888071414,-0.192820837439057,0.0383377554003834,0.40815724499579,0.670067728969372
r_site:id[KUM_D229599,Intercept],0.95,0.8,median,-0.745452384485993,-0.481967279736142,-0.0837663770388479,0.125608949607274,0.286327484262568
r_site:id[KUM_D229635,Intercept],0.95,0.8,median,-0.527246258915739,-0.295231661956177,-0.000920283902499543,0.286149001558879,0.510491143441307
r_site:id[KUM_D229658,Intercept],0.95,0.8,median,-0.39398402075525,-0.228485966386928,0.00503350629066661,0.268457445618789,0.46991683178753
r_site:id[KUM_D229679,Intercept],0.95,0.8,median,-0.226899725283162,-0.0878143453503805,0.138250084884144,0.562556236155811,0.854781951695487
r_site:id[KUM_D229721,Intercept],0.95,0.8,median,-0.663223164505764,-0.43965326375817,-0.0802887102829383,0.147434139862097,0.303504467433506
r_site:id[KUM_D229734,Intercept],0.95,0.8,median,-0.63042845909293,-0.379125186637269,-0.0553554357076536,0.161774032492756,0.358836567672397
r_site:id[KUM_D229735,Intercept],0.95,0.8,median,-0.611907657896086,-0.359873001758357,-0.020013641052706,0.225765518212139,0.411078398280155
r_site:id[KUM_D229737,Intercept],0.95,0.8,median,-0.463371163211615,-0.270484120475851,-0.00486963715349575,0.252965234117718,0.423394754639807
r_site:id[KUM_D237206,Intercept],0.95,0.8,median,-0.58561930257974,-0.372881891046133,-0.0269184454121161,0.206767941405929,0.408843498141058
r_site:id[KUM_D237235,Intercept],0.95,0.8,median,-0.467666153074091,-0.285541097259399,0.00366866504191149,0.318135226035609,0.538676147301682
r_site:id[KUM_D237258,Intercept],0.95,0.8,median,-0.423872293333835,-0.247537601801207,-0.00659961559344017,0.228826927937034,0.398566796794155
r_site:id[KUM_D237310,Intercept],0.95,0.8,median,-0.490602002280738,-0.288836537891123,0.000743765646938316,0.329273530758495,0.538283895475499
r_site:id[KUM_D237311,Intercept],0.95,0.8,median,-0.294517213098894,-0.1432276712132,0.0737576053933431,0.432518134148425,0.652876818345892
r_site:id[KUM_D237313,Intercept],0.95,0.8,median,-0.419325579163112,-0.219464455416245,0.00558290435360614,0.263460784274512,0.435830224193743
r_site:id[KUM_D237325,Intercept],0.95,0.8,median,-0.486319108584729,-0.279091093399707,0.00352373478939725,0.292042371836965,0.536318302444506
r_site:id[KUM_D237327,Intercept],0.95,0.8,median,-0.677862808989116,-0.440689555813899,-0.0781332299770682,0.144814452269943,0.324093778152598
r_site:id[KUM_D237337,Intercept],0.95,0.8,median,-0.639952035152443,-0.428938003119865,-0.0810196245650687,0.117772627209365,0.246913781639152
r_site:id[KUM_D237339,Intercept],0.95,0.8,median,-0.397340465325519,-0.200213746352345,0.0369918967768954,0.354941317001907,0.564283846144141
r_site:id[KUM_D237340,Intercept],0.95,0.8,median,-0.481693470400386,-0.264858340921719,-0.00124685962814485,0.268630152494825,0.449677125998293
r_site:id[KUM_D237389,Intercept],0.95,0.8,median,-0.551576997285044,-0.353138917786977,-0.0347252908605407,0.204683400840783,0.43860782447213
r_site:id[KUM_D243930,Intercept],0.95,0.8,median,-0.644514935799064,-0.416567772303923,-0.0768793360660067,0.128729638822591,0.279689083825564
r_site:id[KUM_D243937,Intercept],0.95,0.8,median,-0.281967722340561,-0.135209548081248,0.102300708898153,0.495922877020667,0.763573509168634
r_site:id[KUM_D243940,Intercept],0.95,0.8,median,-0.685791175492918,-0.445374110622392,-0.0568493273539243,0.170270979431032,0.350831726802954
r_site:id[KUM_D244017,Intercept],0.95,0.8,median,-0.399021216649657,-0.200865121607365,0.0305696439337127,0.358944704963246,0.583428119772594
r_site:id[KUM_D244112,Intercept],0.95,0.8,median,-0.425999304277536,-0.226575840075503,0.0233452426831493,0.339021001274931,0.549096238203747
r_site:id[KUM_D244139,Intercept],0.95,0.8,median,-0.553952644492065,-0.322111516335821,-0.00282243527693216,0.272841668682769,0.46600178330143
r_site:id[KUM_D244143,Intercept],0.95,0.8,median,-0.370014249973093,-0.184212866245378,0.0518997063548056,0.438438122848893,0.745688413506699
r_site:id[KUM_D244144,Intercept],0.95,0.8,median,-0.549554058599276,-0.329754792900576,-0.0229611716896786,0.253577071970575,0.490534372179182
r_site:id[KUM_D244147,Intercept],0.95,0.8,median,-0.613943475735704,-0.375180499506879,-0.0276088389322791,0.198477853530706,0.370551398383625
r_site:id[KUM_D244183,Intercept],0.95,0.8,median,-0.396923667701905,-0.214430511683524,0.0304319005753211,0.356584979487017,0.563314430977901
r_site:id[KUM_D244186,Intercept],0.95,0.8,median,-0.632592189245782,-0.407822427787445,-0.0796418954859229,0.116656469985714,0.262315171861991
r_site:id[LEH_D211334,Intercept],0.95,0.8,median,-0.30260442086717,-0.139462011787389,0.08305042109312,0.475820095572235,0.711028652018541
r_site:id[LEH_D211489,Intercept],0.95,0.8,median,-0.845086158552328,-0.513411306204369,-0.0947269024410649,0.129933021942135,0.304898977000696
r_site:id[LEH_D211490,Intercept],0.95,0.8,median,-0.725110313919305,-0.468912989682384,-0.0709587264211645,0.163677614282075,0.315879518658648
r_site:id[LEH_D217891,Intercept],0.95,0.8,median,-0.694835295920909,-0.444956181142756,-0.0679427794599553,0.158297944987201,0.323866125345766
