parameter,outer_width,inner_width,point_est,ll,l,m,h,hh
b_Intercept,0.95,0.8,median,-0.249976175550877,-0.111952755046692,0.107632173065087,0.306609056078986,0.454526154356708
b_scaletotal_load,0.95,0.8,median,-0.123568112986328,-0.0889746187055211,-0.0203981178747667,0.0442033088122686,0.0786505203036141
b_age_catyearling,0.95,0.8,median,-0.816813202350704,-0.736430215054896,-0.583888067442761,-0.433554961731382,-0.358276806411616
sd_site__Intercept,0.95,0.8,median,0.0838537968765251,0.128116126461854,0.251233964398766,0.54768377730918,0.849744036564443
sd_site:id__Intercept,0.95,0.8,median,0.0156197680810941,0.063520129004304,0.242863212536467,0.379067576818659,0.440045129192369
sd_year__Intercept,0.95,0.8,median,0.02842368073321,0.0724292574357082,0.172940342937555,0.301457294743787,0.396523704668294
sigma,0.95,0.8,median,0.832258182791478,0.856650538687396,0.914239293159618,0.972652077107056,1.00106235266384
r_site[KUM,Intercept],0.95,0.8,median,-0.124479922014759,0.00374748424423424,0.19119565353986,0.408348303731332,0.581201066458705
r_site[LEH,Intercept],0.95,0.8,median,-0.227121285079045,-0.0817754613864076,0.115407969059871,0.364355726062382,0.540129812894071
r_site[NYR,Intercept],0.95,0.8,median,-0.612429339574192,-0.442421187488964,-0.219573091241398,-0.0277085880545801,0.0936468450406003
r_site[SAA,Intercept],0.95,0.8,median,-0.448978986085489,-0.249648202044264,-0.0174644361004264,0.193300492346481,0.35680530198828
r_site[TEE,Intercept],0.95,0.8,median,-0.434918110516356,-0.275418771480787,-0.0522596185708106,0.163764692047323,0.331748520071034
r_site:id[KUM_D211341,Intercept],0.95,0.8,median,-0.398116962614948,-0.200590282225002,0.0254444447679342,0.377470458557808,0.584328562099301
r_site:id[KUM_D211374,Intercept],0.95,0.8,median,-0.411962428570913,-0.227575240953715,0.0104896916130686,0.312154442087776,0.538572790863802
r_site:id[KUM_D211376,Intercept],0.95,0.8,median,-0.401540716502838,-0.242956176571524,0.00588407110487642,0.267528652133962,0.44532835826367
r_site:id[KUM_D211385,Intercept],0.95,0.8,median,-0.495225806177558,-0.297061245076516,-0.00494963399409451,0.259530994212424,0.444221990415146
r_site:id[KUM_D211401,Intercept],0.95,0.8,median,-0.659893783820584,-0.392996465887605,-0.035054374177876,0.199389109616559,0.379309310526068
r_site:id[KUM_D211403,Intercept],0.95,0.8,median,-0.343116118833849,-0.168094882569308,0.0516383349076353,0.436100710975936,0.682016152695202
r_site:id[KUM_D211435,Intercept],0.95,0.8,median,-0.972566338703309,-0.698014266007622,-0.203144464186565,0.0381203350714848,0.159181873585039
r_site:id[KUM_D211438,Intercept],0.95,0.8,median,-0.688394478152079,-0.44998265667974,-0.0744709112017824,0.147995031694768,0.316231123425207
r_site:id[KUM_D211450,Intercept],0.95,0.8,median,-0.469865744287752,-0.267336854891133,0.00861000690629847,0.296806571784541,0.510282482915703
r_site:id[KUM_D211456,Intercept],0.95,0.8,median,-0.724700152875744,-0.461429605203172,-0.0771726549454413,0.143327383586048,0.312730801657174
r_site:id[KUM_D211474,Intercept],0.95,0.8,median,-0.270002526719202,-0.112131184642514,0.0911701126658282,0.473958810965655,0.723758753664122
r_site:id[KUM_D211478,Intercept],0.95,0.8,median,-0.427761936826283,-0.252251772444313,0.00281704485109765,0.294313199478587,0.486102750058917
r_site:id[KUM_D211482,Intercept],0.95,0.8,median,-0.320800374745636,-0.151440402981931,0.067307147457665,0.439880326003633,0.693629500296075
r_site:id[KUM_D217818,Intercept],0.95,0.8,median,-0.24816504872445,-0.107221942696963,0.108371540861684,0.509405275969566,0.767539249134622
