parameter,outer_width,inner_width,point_est,ll,l,m,h,hh
b_Intercept,0.95,0.8,median,-1.97343407131748,-1.64564234746699,-1.12937935489221,-0.623933704423396,-0.379110215918856
b_scaletotal_load,0.95,0.8,median,-0.360829881857836,-0.286801022668728,-0.132143370691702,0.0303877930872021,0.107452067063988
b_scalelyre,0.95,0.8,median,-0.0744911698024959,0.0659202655680503,0.312385887272388,0.555064742006423,0.689331452200161
b_scaleeyec,0.95,0.8,median,-0.209145976126061,-0.0971762072070606,0.128441805246608,0.353094287249376,0.476197292883818
b_scaleblue,0.95,0.8,median,-0.0492366307841042,0.0147738781036622,0.153779843401086,0.289523051912408,0.364325512979907
b_scaledist,0.95,0.8,median,-0.931469819109783,-0.814645630484494,-0.586453385462059,-0.364098152815301,-0.233429921853945
b_scaleattend,0.95,0.8,median,0.713420966873263,0.907707372265947,1.32339470505765,1.74131971356465,2.00803869635016
b_scalefight,0.95,0.8,median,-0.32627966858006,-0.235428337732139,-0.0612490564421047,0.108211046767245,0.214942481638828
b_age_catyearling,0.95,0.8,median,-1.09335116796221,-0.782388812530034,-0.171513950044585,0.418142025657161,0.741365738738078
sd_site__Intercept,0.95,0.8,median,0.00776778589775935,0.0312865672524128,0.181183998142993,0.537914055297567,0.877872335073654
sd_site:id__Intercept,0.95,0.8,median,0.681754231202559,0.766803341446737,0.94065313720995,1.14659728249314,1.27880539023565
sd_year__Intercept,0.95,0.8,median,0.186122958960289,0.257166512520248,0.44542576425489,0.755914477756777,1.02986268719586
zi,0.95,0.8,median,0.150984285217062,0.197503538291237,0.276897792019036,0.355615543117135,0.400507129979779
r_site[KUM,Intercept],0.95,0.8,median,-0.375815872990318,-0.200668870781036,0.000271747258312347,0.240018982217459,0.475403488324149
r_site[LEH,Intercept],0.95,0.8,median,-0.587946183970322,-0.317639438303376,-0.0206432836312537,0.167740110062059,0.381829413486673
r_site[NYR,Intercept],0.95,0.8,median,-0.252722705820431,-0.0911660945771951,0.051776562505402,0.395855905848136,0.680401127867116
r_site[SAA,Intercept],0.95,0.8,median,-0.379336604867323,-0.17742508043613,0.017861736168743,0.347678311938526,0.674756090410665
r_site[TEE,Intercept],0.95,0.8,median,-0.627946030719852,-0.336794104805003,-0.0264173560607316,0.143911531649256,0.317292068776505
r_site:id[KUM_D211341,Intercept],0.95,0.8,median,-0.655105782294685,-0.206107955134778,0.616371755050238,1.43368513645133,1.80701183664363
r_site:id[KUM_D211374,Intercept],0.95,0.8,median,-1.29558917823234,-0.875482778711715,-0.0618729370448106,0.703492835210158,1.1500671929462
r_site:id[KUM_D211376,Intercept],0.95,0.8,median,0.0254353255590533,0.369852599969186,1.11910129016998,1.88189197069244,2.22713526547468
r_site:id[KUM_D211385,Intercept],0.95,0.8,median,-2.22036427636138,-1.54839279689282,-0.380373165964869,0.712238690445987,1.27407367446714
r_site:id[KUM_D211401,Intercept],0.95,0.8,median,-1.8950701024074,-1.19394321642167,-0.0456788697917369,1.10219597012658,1.8162418983821
r_site:id[KUM_D211403,Intercept],0.95,0.8,median,-2.0305573495865,-1.36318127469011,-0.161161877503411,0.974158055487557,1.51828860294349
