parameter,outer_width,inner_width,point_est,ll,l,m,h,hh
b_Intercept,0.95,0.8,median,-2.01057929292676,-1.68639508605271,-1.15154286795108,-0.650940217207079,-0.395515932575814
b_scaletotal_load,0.95,0.8,median,-0.378066914295348,-0.270684108787707,-0.105445440643991,0.0626906131060224,0.163512885161012
b_scalelyre,0.95,0.8,median,-0.084344724636301,0.071354446842074,0.325919994947977,0.578132058479549,0.719612171574016
b_scaleeyec,0.95,0.8,median,-0.212110916598486,-0.0924629942202739,0.135786299773315,0.36647203153688,0.492404298089857
b_scaleblue,0.95,0.8,median,-0.062998487063463,0.0150399443034055,0.151935440413259,0.288188405788632,0.364622256793852
b_scaledist,0.95,0.8,median,-0.937989513904827,-0.818562984418069,-0.570650178499129,-0.343394658620496,-0.220023263212392
b_scaleattend,0.95,0.8,median,0.719378844147702,0.918554155924494,1.32097478529879,1.72764317176687,1.94314644792457
b_scalefight,0.95,0.8,median,-0.321540206865387,-0.23222576054822,-0.0580438841133074,0.107346230550701,0.200867484066741
b_age_catyearling,0.95,0.8,median,-1.04694181984355,-0.726314760770518,-0.145704964597473,0.447053903261057,0.791743015264321
sd_site__Intercept,0.95,0.8,median,0.00802049496108108,0.0324728805597677,0.187921519276245,0.577702212296435,0.943155150805905
sd_site:id__Intercept,0.95,0.8,median,0.697627411633671,0.788953898472838,0.955862756120688,1.17063817572632,1.28585139134593
sd_year__Intercept,0.95,0.8,median,0.183799513809225,0.257739719224668,0.444650593557517,0.739971801317408,1.01151251967201
zi,0.95,0.8,median,0.157664128624918,0.197453074698298,0.276931230149478,0.356645920506902,0.396277379675201
r_site[KUM,Intercept],0.95,0.8,median,-0.409640343403902,-0.202035757891794,0.00200844548259929,0.234626062580727,0.498166319228577
r_site[LEH,Intercept],0.95,0.8,median,-0.619529208331256,-0.328422990208562,-0.0127461636592403,0.217711462885019,0.450142712704426
r_site[NYR,Intercept],0.95,0.8,median,-0.264438566256328,-0.0997953172975805,0.0542454401594508,0.421921633986199,0.738385380284061
r_site[SAA,Intercept],0.95,0.8,median,-0.413901346133166,-0.176252768126937,0.0160263672201428,0.319999817078941,0.574996660253312
r_site[TEE,Intercept],0.95,0.8,median,-0.651377558839184,-0.390021199860645,-0.043527174412237,0.12382739764079,0.327411968593283
r_site:id[KUM_D211341,Intercept],0.95,0.8,median,-0.709066788502651,-0.233429157795417,0.606733931441073,1.40612410562684,1.80410010195208
r_site:id[KUM_D211374,Intercept],0.95,0.8,median,-1.54461780669775,-0.988478513549005,-0.15531461273725,0.626257686228608,1.01203826836021
r_site:id[KUM_D211376,Intercept],0.95,0.8,median,0.152665083968023,0.516725150775414,1.27740529826256,2.029130629256,2.43845424119275
r_site:id[KUM_D211385,Intercept],0.95,0.8,median,-2.22819167102259,-1.62490671339664,-0.443739827988839,0.755995367931108,1.36142309852317
r_site:id[KUM_D211401,Intercept],0.95,0.8,median,-2.00604945295252,-1.28022747375711,-0.0917178301139714,1.05827889652018,1.79928197160311
r_site:id[KUM_D211403,Intercept],0.95,0.8,median,-1.96330427691922,-1.27987549198722,-0.12691174346606,1.06552360441284,1.80753113608162
