parameter	median	ci_95	ci_80
b_Intercept	1.76	0.89, 2.36	1.39, 2.1
b_scalefroh	-0.14	-0.23, -0.05	-0.2, -0.07
b_coreno_core	0.38	0.19, 0.56	0.26, 0.5
sd_site__Intercept	0.54	0.26, 1.7	0.32, 1.06
zi	0.5	0.43, 0.57	0.45, 0.54
Intercept	1.81	0.94, 2.41	1.43, 2.15
r_site[KUM,Intercept]	-0.07	-0.67, 0.77	-0.42, 0.32
r_site[LEH,Intercept]	-0.34	-1.02, 0.48	-0.72, 0.07
r_site[NYR,Intercept]	-0.24	-0.87, 0.62	-0.6, 0.14
r_site[SAA,Intercept]	0.69	0.1, 1.6	0.36, 1.09
r_site[TEE,Intercept]	0.09	-0.56, 0.99	-0.26, 0.5
lprior	-5.89	-6.26, -5.66	-6.07, -5.75
lp__	-594.51	-600.31, -590.49	-598.19, -591.64
