parameter	median	ci_95	ci_80
b_Intercept	1.68	0.98, 2.25	1.32, 2.01
b_scaletotal_load_gerp45	-0.26	-0.34, -0.17	-0.31, -0.2
sd_born__Intercept	0.41	0.2, 1.01	0.26, 0.71
sd_site__Intercept	0.35	0.14, 1.15	0.19, 0.73
zi	0.53	0.45, 0.6	0.48, 0.58
Intercept	1.68	0.98, 2.25	1.32, 2.01
r_born[2001,Intercept]	-0.41	-0.9, 0.04	-0.71, -0.14
r_born[2002,Intercept]	-0.35	-0.92, 0.11	-0.7, -0.05
r_born[2003,Intercept]	0.23	-0.28, 0.82	-0.09, 0.58
r_born[2004,Intercept]	0.29	-0.12, 0.76	0.04, 0.56
r_born[2005,Intercept]	-0.23	-0.68, 0.21	-0.5, 0.04
r_born[2006,Intercept]	0.21	-0.2, 0.66	-0.04, 0.48
r_born[2007,Intercept]	0.32	-0.1, 0.83	0.06, 0.62
r_born[2008,Intercept]	-0.02	-1.05, 0.98	-0.61, 0.54
r_site[KUM,Intercept]	-0.13	-0.55, 0.41	-0.36, 0.14
r_site[LEH,Intercept]	-0.18	-0.7, 0.34	-0.48, 0.09
r_site[NYR,Intercept]	0.17	-0.24, 0.72	-0.07, 0.45
r_site[SAA,Intercept]	0.38	-0.01, 0.96	0.14, 0.7
r_site[TEE,Intercept]	-0.14	-0.63, 0.38	-0.42, 0.12
lprior	-6.58	-6.89, -6.34	-6.75, -6.44
lp__	-447.32	-456.38, -441.02	-452.91, -442.95
