parameter	median	ci_95	ci_80
b_Intercept	1.75	1.15, 2.25	1.44, 2.04
b_scaletotal_load	0.23	0.15, 0.31	0.18, 0.29
b_coreno_core	0.29	0.09, 0.47	0.15, 0.41
sd_site__Intercept	0.47	0.23, 1.37	0.28, 0.91
zi	0.5	0.42, 0.56	0.45, 0.54
r_site[KUM,Intercept]	-0.07	-0.57, 0.54	-0.37, 0.26
r_site[LEH,Intercept]	-0.22	-0.79, 0.36	-0.56, 0.12
r_site[NYR,Intercept]	-0.2	-0.71, 0.39	-0.49, 0.11
r_site[SAA,Intercept]	0.65	0.17, 1.26	0.35, 0.99
r_site[TEE,Intercept]	-0.01	-0.53, 0.56	-0.33, 0.32
lprior	-5.86	-6.16, -5.67	-6.01, -5.74
lp__	-584.46	-591.01, -580.65	-588.37, -581.61
