parameter	median	ci_95	ci_80
b_Intercept	1.79	1.11, 2.32	1.44, 2.08
b_scaletotal_load	-0.29	-0.37, -0.21	-0.35, -0.23
b_coreno_core	0.24	0.04, 0.43	0.11, 0.36
sd_site__Intercept	0.49	0.24, 1.45	0.3, 0.92
zi	0.49	0.42, 0.57	0.45, 0.54
r_site[KUM,Intercept]	-0.18	-0.75, 0.49	-0.48, 0.16
r_site[LEH,Intercept]	-0.24	-0.83, 0.44	-0.59, 0.11
r_site[NYR,Intercept]	-0.2	-0.78, 0.48	-0.51, 0.15
r_site[SAA,Intercept]	0.65	0.09, 1.36	0.34, 1.01
r_site[TEE,Intercept]	0.04	-0.51, 0.76	-0.27, 0.4
lprior	-5.87	-6.19, -5.65	-6.03, -5.75
lp__	-576.62	-582.89, -572.74	-580.31, -573.85
