parameter	median	ci_95	ci_80
b_Intercept	1.79	1.16, 2.34	1.44, 2.08
b_scaletotal_load	-0.26	-0.34, -0.18	-0.31, -0.2
b_coreno_core	0.24	0.03, 0.43	0.11, 0.36
sd_site__Intercept	0.48	0.22, 1.29	0.29, 0.92
zi	0.49	0.42, 0.57	0.45, 0.54
r_site[KUM,Intercept]	-0.04	-0.57, 0.61	-0.35, 0.31
r_site[LEH,Intercept]	-0.19	-0.8, 0.46	-0.54, 0.17
r_site[NYR,Intercept]	-0.21	-0.78, 0.44	-0.52, 0.13
r_site[SAA,Intercept]	0.64	0.13, 1.31	0.35, 1.02
r_site[TEE,Intercept]	-0.13	-0.69, 0.54	-0.45, 0.21
lprior	-5.86	-6.15, -5.65	-6.01, -5.74
lp__	-581.35	-588.25, -577.53	-585.6, -578.67
