parameter,outer_width,inner_width,point_est,ll,l,m,h,hh
b_Intercept,0.95,0.8,median,0.694092150521966,1.15672226561682,1.70840150452488,2.08903804314481,2.44705960936878
b_scalehom_load,0.95,0.8,median,-0.744362912146087,-0.679446015335398,-0.552557515321847,-0.436719878958144,-0.345592119848931
b_scalehet_load,0.95,0.8,median,-0.763459755458568,-0.705342076652514,-0.580906554968408,-0.457327104774347,-0.366624378148331
b_coreno_core,0.95,0.8,median,0.165691794774075,0.21885652804094,0.344806261222269,0.452657591212285,0.506531905122342
sd_site__Intercept,0.95,0.8,median,0.30950825895014,0.386620906393826,0.626219467485316,1.34520820168927,1.93477785916977
zi,0.95,0.8,median,0.417244772685331,0.445551285093629,0.494728775167429,0.535678789048222,0.557038465942457
Intercept,0.95,0.8,median,0.748704210205541,1.19457365249168,1.7533622043785,2.12524769268081,2.46461371191895
r_site[KUM,Intercept],0.95,0.8,median,-0.76313631569454,-0.45032213914456,-0.0412102038228661,0.520724808428285,0.972314793500918
r_site[LEH,Intercept],0.95,0.8,median,-1.07822293984922,-0.870257532908662,-0.381658472174787,0.118836372930399,0.46447690503956
r_site[NYR,Intercept],0.95,0.8,median,-0.851035425599019,-0.562244735010231,-0.171498745532942,0.430423897887702,0.782223185340547
r_site[SAA,Intercept],0.95,0.8,median,0.0871638923208323,0.399377839504334,0.804711690277878,1.40998506946374,1.80953681880954
r_site[TEE,Intercept],0.95,0.8,median,-0.596492676935836,-0.311824406071272,0.112773986336858,0.690363483319185,1.05743680112182
lprior,0.95,0.8,median,-4.43543472594874,-4.15513102513973,-3.95111849274492,-3.76791880330346,-3.68478250354169
lp__,0.95,0.8,median,-585.509217627249,-583.452520087081,-579.212891606405,-576.54414510698,-575.498170232858
