parameter,outer_width,inner_width,point_est,ll,l,m,h,hh
b_Intercept,0.95,0.8,median,1.08211302160479,1.39423922109162,1.75756382183135,2.06213499868519,2.41346275634215
b_scalehom_load,0.95,0.8,median,-0.168001991311721,-0.148327952858232,-0.0930352749453536,-0.0376242669449682,-0.0167984874061277
b_scalehet_load,0.95,0.8,median,-0.242882054213852,-0.208076930868716,-0.154303253908686,-0.09996567821767,-0.0535010939745744
b_coreno_core,0.95,0.8,median,0.279993877913908,0.325781674363326,0.439631213235295,0.542035959171687,0.593714673645938
sd_site__Intercept,0.95,0.8,median,0.237622018653209,0.29921515403923,0.4985137891169,0.940064549526946,1.47573223791767
zi,0.95,0.8,median,0.42217091383104,0.45129203258169,0.500297197794598,0.543847281803133,0.565465336490755
Intercept,0.95,0.8,median,1.14549716392432,1.44210193000743,1.81493537292868,2.11378813021159,2.45719804257547
r_site[KUM,Intercept],0.95,0.8,median,-0.637790737931176,-0.361761275842017,-0.0822319561193932,0.307981385048411,0.54166061555149
r_site[LEH,Intercept],0.95,0.8,median,-0.870479758698694,-0.624203709001759,-0.255513064797108,0.143948503831455,0.386804342062326
r_site[NYR,Intercept],0.95,0.8,median,-0.869295385180718,-0.607886369070071,-0.265835250402285,0.0956016389421706,0.400645083403941
r_site[SAA,Intercept],0.95,0.8,median,0.206291538757666,0.385245764899419,0.699583524102483,1.03491033754273,1.38653654174025
r_site[TEE,Intercept],0.95,0.8,median,-0.660884950242809,-0.314467513512082,0.0105709793936685,0.359201730474915,0.660646547284567
lprior,0.95,0.8,median,-23.718507301591,-23.5892039770194,-23.5223632726546,-23.5054726879142,-23.5018858693134
lp__,0.95,0.8,median,-617.497535984156,-616.207333452437,-612.076601053232,-608.923443239418,-608.027253272697
