parameter,outer_width,inner_width,point_est,ll,l,m,h,hh
b_Intercept,0.95,0.8,median,1.20164150929094,1.49206881883684,1.8362397675269,2.36269559310441,2.85672985479466
b_scaletotal_load,0.95,0.8,median,-0.262321071691917,-0.242594314932382,-0.204636118629156,-0.156081127400043,-0.133641032722466
b_coreno_core,0.95,0.8,median,0.180055303031313,0.227785314583225,0.331209201947559,0.463738536017654,0.533196078836397
sd_site__Intercept,0.95,0.8,median,0.294600159034594,0.377816815828559,0.649325011154714,1.26786751988696,1.71877554135319
zi,0.95,0.8,median,0.41581603908418,0.444005331576909,0.492196425885463,0.549152792474625,0.576367516701231
Intercept,0.95,0.8,median,1.23865990410569,1.54139474917395,1.86622228236133,2.39450876863038,2.90329004460178
r_site[KUM,Intercept],0.95,0.8,median,-1.14484493747793,-0.677725241861409,-0.162744545114682,0.203317507848304,0.455304693274448
r_site[LEH,Intercept],0.95,0.8,median,-1.6800068308924,-1.16463300722073,-0.53347479611238,-0.126302289815623,0.0350555402432356
r_site[NYR,Intercept],0.95,0.8,median,-1.33738589696972,-0.833431031853139,-0.276938717441164,0.0566583448378487,0.414746132258265
r_site[SAA,Intercept],0.95,0.8,median,-0.310232361973592,0.0928473318898985,0.675634045836988,1.02002223779088,1.22310494012284
r_site[TEE,Intercept],0.95,0.8,median,-0.929534824496619,-0.557633574083302,0.0259901617465419,0.301839595456723,0.526189987357748
lprior,0.95,0.8,median,-26.8523743100834,-26.6778660452321,-26.5001231644765,-26.2843675466807,-26.1312788445782
lp__,0.95,0.8,median,-608.90006603467,-605.566252344918,-601.930383789279,-598.876444236131,-597.852589565957
