parameter,outer_width,inner_width,point_est,ll,l,m,h,hh
b_Intercept,0.95,0.8,median,1.13980602390522,1.44566682130465,1.77469603589614,2.15077480683702,2.43870467569598
b_scaletotal_load,0.95,0.8,median,-0.194788038504638,-0.160051859225845,-0.109969970395093,-0.0606076098978718,-0.0437150141975097
b_coreno_core,0.95,0.8,median,0.242489906781062,0.307315966511516,0.420949642595329,0.552423118345542,0.618667545735864
sd_site__Intercept,0.95,0.8,median,0.262485964539216,0.332047862061695,0.51619215491516,1.01457116963056,1.55466846742825
zi,0.95,0.8,median,0.427011924705088,0.451661557328156,0.493963133332214,0.541711572130389,0.560112538941654
Intercept,0.95,0.8,median,1.19250308266329,1.49087944411703,1.82505112493975,2.18789253619224,2.47967077736023
r_site[KUM,Intercept],0.95,0.8,median,-0.741440614364778,-0.490192884017589,-0.0835162818804179,0.242860145096667,0.604887797662516
r_site[LEH,Intercept],0.95,0.8,median,-1.09854583473291,-0.757762053363115,-0.32093322336155,0.0546648663603413,0.329393308984062
r_site[NYR,Intercept],0.95,0.8,median,-0.995192390084993,-0.654330137209229,-0.2668081983772,0.082917597059474,0.209419355814024
r_site[SAA,Intercept],0.95,0.8,median,-0.0292186946635509,0.301449763942578,0.668312729134414,0.992241216803336,1.20131661251431
r_site[TEE,Intercept],0.95,0.8,median,-0.631438631072066,-0.332055295119914,0.028032321377618,0.371652208955546,0.820837298193725
lprior,0.95,0.8,median,-18.1933924161659,-18.0585623284692,-17.9804005706601,-17.9633663697633,-17.9590429517476
lp__,0.95,0.8,median,-612.472145162333,-610.499204834152,-607.060869786052,-604.482656060019,-603.426936198177
