     12 ScEsiA3_10002;HRSCAF=10935
      3 ScEsiA3_10004;HRSCAF=10937
     14 ScEsiA3_10006;HRSCAF=10939
      2 ScEsiA3_10009;HRSCAF=10942
      1 ScEsiA3_10010;HRSCAF=10943
      5 ScEsiA3_10011;HRSCAF=10944
      8 ScEsiA3_10015;HRSCAF=10949
      4 ScEsiA3_10017;HRSCAF=10951
      7 ScEsiA3_10018;HRSCAF=10952
      2 ScEsiA3_10021;HRSCAF=10955
     29 ScEsiA3_1002;HRSCAF=1605
      6 ScEsiA3_10032;HRSCAF=10966
      6 ScEsiA3_10038;HRSCAF=10972
      2 ScEsiA3_1004;HRSCAF=1607
      7 ScEsiA3_10051;HRSCAF=10986
      8 ScEsiA3_1005;HRSCAF=1608
      1 ScEsiA3_10079;HRSCAF=11014
      1 ScEsiA3_10086;HRSCAF=11021
     25 ScEsiA3_10090;HRSCAF=11025
      7 ScEsiA3_10098;HRSCAF=11033
      8 ScEsiA3_10102;HRSCAF=11037
     12 ScEsiA3_10107;HRSCAF=11043
     12 ScEsiA3_1010;HRSCAF=1613
     13 ScEsiA3_10120;HRSCAF=11056
     12 ScEsiA3_10121;HRSCAF=11057
      1 ScEsiA3_10125;HRSCAF=11061
     22 ScEsiA3_10127;HRSCAF=11063
      7 ScEsiA3_10129;HRSCAF=11065
      7 ScEsiA3_10130;HRSCAF=11066
      3 ScEsiA3_10133;HRSCAF=11069
     15 ScEsiA3_10136;HRSCAF=11072
      3 ScEsiA3_10145;HRSCAF=11082
      2 ScEsiA3_10152;HRSCAF=11089
     12 ScEsiA3_10153;HRSCAF=11090
      4 ScEsiA3_10167;HRSCAF=11105
      3 ScEsiA3_1016;HRSCAF=1619
     10 ScEsiA3_10173;HRSCAF=11111
      8 ScEsiA3_10175;HRSCAF=11113
      4 ScEsiA3_10177;HRSCAF=11115
      1 ScEsiA3_10182;HRSCAF=11120
      2 ScEsiA3_10183;HRSCAF=11121
      2 ScEsiA3_10186;HRSCAF=11124
      5 ScEsiA3_10188;HRSCAF=11126
     17 ScEsiA3_10190;HRSCAF=11128
      7 ScEsiA3_10194;HRSCAF=11132
      4 ScEsiA3_10196;HRSCAF=11134
      9 ScEsiA3_10201;HRSCAF=11139
      1 ScEsiA3_10202;HRSCAF=11140
     12 ScEsiA3_10203;HRSCAF=11141
     16 ScEsiA3_10205;HRSCAF=11143
      3 ScEsiA3_10206;HRSCAF=11144
      5 ScEsiA3_10208;HRSCAF=11146
      9 ScEsiA3_10213;HRSCAF=11151
      6 ScEsiA3_10217;HRSCAF=11155
      1 ScEsiA3_10220;HRSCAF=11158
      9 ScEsiA3_10222;HRSCAF=11160
     10 ScEsiA3_10223;HRSCAF=11161
     10 ScEsiA3_10227;HRSCAF=11165
      6 ScEsiA3_10229;HRSCAF=11167
      5 ScEsiA3_10236;HRSCAF=11174
      3 ScEsiA3_1023;HRSCAF=1628
      5 ScEsiA3_10241;HRSCAF=11179
      4 ScEsiA3_10243;HRSCAF=11181
      6 ScEsiA3_10246;HRSCAF=11184
      2 ScEsiA3_10249;HRSCAF=11187
     13 ScEsiA3_10253;HRSCAF=11191
     16 ScEsiA3_10269;HRSCAF=11207
      5 ScEsiA3_1026;HRSCAF=1631
      9 ScEsiA3_10270;HRSCAF=11208
      5 ScEsiA3_10274;HRSCAF=11212
     13 ScEsiA3_10285;HRSCAF=11223
      4 ScEsiA3_10290;HRSCAF=11228
     10 ScEsiA3_1033;HRSCAF=1639
      6 ScEsiA3_10340;HRSCAF=11278
      3 ScEsiA3_1034;HRSCAF=1640
      5 ScEsiA3_10369;HRSCAF=11307
      4 ScEsiA3_1036;HRSCAF=1642
      4 ScEsiA3_10371;HRSCAF=11309
     11 ScEsiA3_10372;HRSCAF=11310
      3 ScEsiA3_10373;HRSCAF=11311
      1 ScEsiA3_10376;HRSCAF=11314
      5 ScEsiA3_10378;HRSCAF=11316
      5 ScEsiA3_10379;HRSCAF=11317
      5 ScEsiA3_10380;HRSCAF=11318
     14 ScEsiA3_10384;HRSCAF=11322
     29 ScEsiA3_10388;HRSCAF=11326
     18 ScEsiA3_10391;HRSCAF=11329
     11 ScEsiA3_10392;HRSCAF=11330
     24 ScEsiA3_10393;HRSCAF=11331
     17 ScEsiA3_10397;HRSCAF=11335
      6 ScEsiA3_10398;HRSCAF=11336
      9 ScEsiA3_103;HRSCAF=433
     36 ScEsiA3_10400;HRSCAF=11338
      3 ScEsiA3_10401;HRSCAF=11339
     24 ScEsiA3_10402;HRSCAF=11340
      2 ScEsiA3_10403;HRSCAF=11341
      5 ScEsiA3_10408;HRSCAF=11346
      3 ScEsiA3_1040;HRSCAF=1646
     11 ScEsiA3_10421;HRSCAF=11359
      6 ScEsiA3_10423;HRSCAF=11361
     10 ScEsiA3_10425;HRSCAF=11363
     13 ScEsiA3_10427;HRSCAF=11366
      3 ScEsiA3_10428;HRSCAF=11367
     19 ScEsiA3_10432;HRSCAF=11371
