FID,IID,PHE,CHR,SNP1,SNP2,POS1,POS2,KB,NSNP,DENSITY,PHOM,PHET,id
/vol/cluster-data/rchen/wgr/data/processed/D154259k_E100041924_L01_ANIscleR181601-729.sorted.bam,/vol/cluster-data/rchen/wgr/data/processed/D154259k_E100041924_L01_ANIscleR181601-729.sorted.bam,-9,ScEsiA3_18316;HRSCAF=21772,.,.,14763093,16501280,1738.188,6675,0.26,0.992,0.002,D154259
/vol/cluster-data/rchen/wgr/data/processed/D154259k_E100041924_L01_ANIscleR181601-729.sorted.bam,/vol/cluster-data/rchen/wgr/data/processed/D154259k_E100041924_L01_ANIscleR181601-729.sorted.bam,-9,ScEsiA3_18461;HRSCAF=22153,.,.,17555622,18805255,1249.634,7435,0.168,0.982,0.013,D154259
/vol/cluster-data/rchen/wgr/data/processed/D154259k_E100041924_L01_ANIscleR181601-729.sorted.bam,/vol/cluster-data/rchen/wgr/data/processed/D154259k_E100041924_L01_ANIscleR181601-729.sorted.bam,-9,ScEsiA3_18461;HRSCAF=22153,.,.,40572216,42053136,1480.921,4097,0.361,0.975,0.016,D154259
/vol/cluster-data/rchen/wgr/data/processed/D154280_E100046281_L01_LYRfjwqR198689-701.sorted.bam,/vol/cluster-data/rchen/wgr/data/processed/D154280_E100046281_L01_LYRfjwqR198689-701.sorted.bam,-9,ScEsiA3_16766;HRSCAF=19082,.,.,22709437,23835303,1125.867,2465,0.457,0.966,0.023,D154280
/vol/cluster-data/rchen/wgr/data/processed/D154280_E100046281_L01_LYRfjwqR198689-701.sorted.bam,/vol/cluster-data/rchen/wgr/data/processed/D154280_E100046281_L01_LYRfjwqR198689-701.sorted.bam,-9,ScEsiA3_16766;HRSCAF=19082,.,.,26844708,29333469,2488.762,8155,0.305,0.983,0.005,D154280
/vol/cluster-data/rchen/wgr/data/processed/D154280_E100046281_L01_LYRfjwqR198689-701.sorted.bam,/vol/cluster-data/rchen/wgr/data/processed/D154280_E100046281_L01_LYRfjwqR198689-701.sorted.bam,-9,ScEsiA3_17007;HRSCAF=19631,.,.,28551372,30206090,1654.719,9996,0.166,0.991,0,D154280
/vol/cluster-data/rchen/wgr/data/processed/D154280_E100046281_L01_LYRfjwqR198689-701.sorted.bam,/vol/cluster-data/rchen/wgr/data/processed/D154280_E100046281_L01_LYRfjwqR198689-701.sorted.bam,-9,ScEsiA3_17641;HRSCAF=20530,.,.,42146321,43908393,1762.073,4033,0.437,0.98,0.007,D154280
/vol/cluster-data/rchen/wgr/data/processed/D154280_E100046281_L01_LYRfjwqR198689-701.sorted.bam,/vol/cluster-data/rchen/wgr/data/processed/D154280_E100046281_L01_LYRfjwqR198689-701.sorted.bam,-9,ScEsiA3_18316;HRSCAF=21772,.,.,12541199,13558990,1017.792,3760,0.271,0.975,0.01,D154280
/vol/cluster-data/rchen/wgr/data/processed/D154280_E100046281_L01_LYRfjwqR198689-701.sorted.bam,/vol/cluster-data/rchen/wgr/data/processed/D154280_E100046281_L01_LYRfjwqR198689-701.sorted.bam,-9,ScEsiA3_18316;HRSCAF=21772,.,.,28140392,29726548,1586.157,4412,0.36,0.971,0.017,D154280
/vol/cluster-data/rchen/wgr/data/processed/D154280_E100046281_L01_LYRfjwqR198689-701.sorted.bam,/vol/cluster-data/rchen/wgr/data/processed/D154280_E100046281_L01_LYRfjwqR198689-701.sorted.bam,-9,ScEsiA3_18316;HRSCAF=21772,.,.,56170669,57543185,1372.517,4138,0.332,0.975,0.011,D154280
